operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,totalTime,numNodes,tasksPerNode,parallelism,trMiB,storageType
write,0,4096,5120,32,11.4104,4,8,128,448.7135,nfs
read,0,4096,5120,32,0.065,4,8,128,78805.7785,nfs
write,0,1024,1024,16,2.3537,4,4,64,435.0658,nfs
read,0,1024,1024,16,0.0341,4,4,64,30024.1862,nfs
write,0,268435456,5120,8,9.2874,4,2,32,441.028,nfs
read,0,268435456,5120,8,0.1516,4,2,32,27015.4269,nfs
write,0,4096,5120,4,11.8298,4,1,16,432.8056,nfs
read,0,4096,5120,4,0.2702,4,1,16,18949.7674,nfs
write,0,1048576,51200,256,113.2495,4,64,1024,452.099,nfs
read,0,1048576,51200,256,0.1831,4,64,1024,279589.181,nfs
write,0,1048576,1024,128,2.2994,4,32,512,445.3406,nfs
read,0,1048576,1024,128,0.0105,4,32,512,97176.5929,nfs
write,0,1024,1024,256,2.3199,4,64,1024,441.4037,nfs
read,0,1024,1024,256,0.0386,4,64,1024,26518.6512,nfs
write,0,16777216,5120,128,9.0738,4,32,512,451.4106,nfs
read,0,16777216,5120,128,0.0459,4,32,512,89166.8852,nfs
write,0,16777216,51200,32,113.612,4,8,128,450.6567,nfs
read,0,16777216,51200,32,28.5366,4,8,128,1794.1898,nfs
write,0,4096,5120,128,11.3611,4,32,512,450.66,nfs
read,0,4096,5120,128,0.0343,4,32,512,149373.813,nfs
write,0,4096,5120,8,11.6082,4,2,32,441.0667,nfs
read,0,4096,5120,8,0.168,4,2,32,30474.8755,nfs
write,0,1024,1024,128,2.2969,4,32,512,445.827,nfs
read,0,1024,1024,128,0.0105,4,32,512,97728.3969,nfs
write,0,1048576,1024,256,2.5651,4,64,1024,399.2029,nfs
read,0,1048576,1024,256,0.0428,4,64,1024,23944.4093,nfs
write,0,67108864,5120,16,11.4746,4,4,64,446.2011,nfs
read,0,67108864,5120,16,0.1122,4,4,64,45639.9757,nfs
write,0,1024,51200,512,113.287,4,128,2048,451.9493,nfs
read,0,1024,51200,512,0.3616,4,128,2048,141594.0281,nfs
write,0,4194304,51200,16,113.9625,4,4,64,449.2705,nfs
read,0,4194304,51200,16,113.8011,4,4,64,449.9077,nfs
write,0,4096,1024,32,2.3046,4,8,128,444.3214,nfs
read,0,4096,1024,32,0.0164,4,8,128,62596.5999,nfs
