region,size,mean,std,cv,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,nodes
22-5-2,6,56.63109252114862,13.35219802874827,0.23577503866382155,beegfs,beegfs,beegfs,"beegfs,ssd",beegfs,"2,5,10"
22-5-3,6,68.78803862091799,0.03313468636440378,0.0004816925591817607,beegfs,beegfs,beegfs,"beegfs,ssd",ssd,"2,5,10"
22-6,9,74.22580913144564,0.2142722434985605,0.002886761976809282,beegfs,beegfs,beegfs,*,tmpfs,"2,5,10"
22-5-4,6,74.32032424602227,0.22980651684610645,0.003092108641579373,beegfs,beegfs,beegfs,tmpfs,"beegfs,ssd","2,5,10"
22-2,18,85.40892017462242,12.487772657133526,0.14621157405575091,beegfs,"ssd,tmpfs",beegfs,*,"beegfs,ssd","2,5,10"
20,27,87.79717834827618,9.251658333167537,0.10537534926769301,tmpfs,beegfs,beegfs,*,*,"2,5,10"
22-3,6,99.82170888033225,0.02602066991564556,0.0002606714532090362,beegfs,tmpfs,beegfs,*,tmpfs,"2,5,10"
15-1,9,115.80546040917541,12.213041208275824,0.10546170418150826,beegfs,*,tmpfs,beegfs,beegfs,"2,5,10"
21,27,179.67106284035816,9.251658333167532,0.05149220017353513,ssd,beegfs,beegfs,*,*,"2,5,10"
15-2,9,207.3298528473273,12.213041208275833,0.05890633230357435,beegfs,*,ssd,beegfs,beegfs,"2,5,10"
9-6,6,212.36647014198073,103.07346195471425,0.48535657199464194,tmpfs,beegfs,tmpfs,beegfs,*,"2,5,10"
9-2,6,255.2947979366609,49.83914437857422,0.1952219347255928,tmpfs,beegfs,ssd,*,beegfs,"2,5,10"
18,24,271.28393264486647,13.161774639112505,0.04851660218425975,"ssd,tmpfs","ssd,tmpfs",beegfs,*,*,"2,5,10"
12,24,297.08264704905986,12.952093069843581,0.04359760894315947,beegfs,*,"ssd,tmpfs","ssd,tmpfs",*,"2,5,10"
14,12,297.1053876753925,13.24190424771563,0.044569721038459575,beegfs,*,"ssd,tmpfs",beegfs,"ssd,tmpfs","2,5,10"
9-3,6,300.759629520532,0.033134686364410255,0.0001101699932841161,tmpfs,beegfs,ssd,*,ssd,"2,5,10"
10-3,6,304.2434356334193,103.07683840265166,0.338797246974453,ssd,beegfs,tmpfs,*,beegfs,"2,5,10"
9-5,6,306.4407552687935,0.03365806255524675,0.00010983546403846867,tmpfs,beegfs,tmpfs,tmpfs,*,"2,5,10"
7,12,351.94971860364103,47.92351744699208,0.13616580697131517,"ssd,tmpfs","ssd,tmpfs","ssd,tmpfs",beegfs,beegfs,"2,5,10"
10-1,12,369.90109822067853,41.14371683427419,0.11122896642423144,ssd,beegfs,ssd,*,*,"2,5,10"
10-4,6,398.31155876151905,0.026020669915656467,6.532742860027272e-05,ssd,beegfs,tmpfs,*,tmpfs,"2,5,10"
4,12,491.5148221668431,6.4453173814425355,0.013113169920346153,"ssd,tmpfs","ssd,tmpfs","ssd,tmpfs","ssd,tmpfs",*,"2,5,10"
6,6,491.5375627931757,6.755159226815329,0.013742915573794505,"ssd,tmpfs","ssd,tmpfs","ssd,tmpfs",beegfs,"ssd,tmpfs","2,5,10"
