cluster,size,mean,std,individuals_store,individuals_merge_store,sifting_store,mutation_overlap_store,frequency_store,nodes
14,18,6623.427299177881,6583.290318628678,beegfs,beegfs,*,*,*,10
18,27,7541.587265860805,5325.619292744808,beegfs,beegfs,*,*,*,2
8,27,11979.425083014034,8567.128579982935,beegfs,*,beegfs,*,*,5
47,9,15700.314617098713,53.65940580271113,beegfs,tmpfs,beegfs,*,*,10
13,18,17306.306486449794,1569.72129549652,beegfs,*,beegfs,*,*,2
27,9,18991.171497628526,53.65940580271243,beegfs,ssd,beegfs,*,*,10
46,9,20235.494792580772,8647.945389750399,beegfs,*,ssd,*,ssd,10
33,9,20270.34583399798,8647.945389750399,beegfs,*,ssd,*,tmpfs,10
3,27,20341.757019166085,8309.243585601573,beegfs,*,ssd,*,*,5
22,9,20355.90759895369,8647.9453897504,beegfs,*,ssd,*,beegfs,10
7,27,24468.388561723987,8309.243585601575,beegfs,*,tmpfs,*,*,5
15,18,26064.654738385827,1588.1877104194548,beegfs,*,ssd,*,*,2
44,9,28571.39167796752,53.659405802712,beegfs,tmpfs,tmpfs,*,*,10
12,18,30191.28628094373,1588.1877104194548,beegfs,*,tmpfs,*,*,2
23,9,31649.21568643902,53.659405802710246,beegfs,ssd,tmpfs,*,*,10
43,9,580598.2530924004,53.65940580268236,tmpfs,tmpfs,beegfs,*,*,10
38,9,580677.933380975,165.89507156075214,tmpfs,*,beegfs,*,tmpfs,2
45,9,580706.6831564157,165.8945001646099,tmpfs,*,beegfs,*,ssd,2
25,18,580742.6998692423,87.69506348314128,tmpfs,*,beegfs,*,*,10
37,9,580941.7012071707,165.89066253245159,tmpfs,*,beegfs,*,beegfs,2
1,27,581034.8742852147,474.0209097500925,tmpfs,*,beegfs,*,*,5
42,9,589290.9439947814,0.0,tmpfs,*,ssd,*,ssd,10
21,9,589325.7950361986,0.0,tmpfs,*,ssd,*,tmpfs,10
5,27,589397.2062213668,97.0182274426773,tmpfs,*,ssd,*,*,5
40,9,589411.3568011542,0.0,tmpfs,*,ssd,*,beegfs,10
11,21,589423.6812094519,121.07038123088464,tmpfs,*,ssd,*,*,2
32,12,591486.9969807309,2158.5934833374527,tmpfs,*,*,tmpfs,*,2
9,12,593456.3914992868,51.39983220384756,tmpfs,*,tmpfs,*,*,10
6,27,593523.8377639247,97.01822744267731,tmpfs,*,tmpfs,*,*,5
17,21,593550.31275201,121.07038123088462,tmpfs,*,tmpfs,*,*,2
31,12,725777.0978698535,138208.61162077426,*,*,tmpfs,*,tmpfs,10
10,12,725862.6596348091,138208.6116207743,*,*,tmpfs,*,beegfs,10
16,12,791904.5824739848,119692.16868536772,*,*,tmpfs,*,ssd,10
28,9,845247.5956745944,53.65940580268236,ssd,tmpfs,beegfs,*,*,10
36,9,845327.275963169,165.89507156075214,ssd,*,beegfs,*,tmpfs,2
41,9,845356.0257386095,165.8945001646099,ssd,*,beegfs,*,ssd,2
24,18,845392.0424514362,87.69506348314128,ssd,*,beegfs,*,*,10
35,9,845591.0437893646,165.89066253245156,ssd,*,beegfs,*,beegfs,2
2,27,845684.2168674084,474.0209097500925,ssd,*,beegfs,*,*,5
20,9,853940.2865769753,0.0,ssd,*,ssd,*,ssd,10
39,9,853975.1376183925,1.2347709524675985e-10,ssd,*,ssd,*,tmpfs,10
0,27,854046.5488035606,97.01822744267731,ssd,*,ssd,*,*,5
19,9,854060.6993833481,0.0,ssd,*,ssd,*,beegfs,10
4,21,854073.0237916458,121.07038123088462,ssd,*,ssd,*,*,2
30,12,856136.3395629247,2158.593483337452,ssd,*,*,tmpfs,*,2
49,9,858102.6973312848,1.2347709524675985e-10,ssd,*,tmpfs,*,tmpfs,5
29,9,858109.0740077755,0.0,ssd,*,tmpfs,*,ssd,5
34,6,858144.5500434283,46.86410872615742,ssd,*,tmpfs,tmpfs,*,10
26,21,858199.6553342039,121.0703812308846,ssd,*,tmpfs,*,*,2
48,9,858307.7696992953,1.2347709524675985e-10,ssd,*,tmpfs,*,beegfs,5
