region,mean_total,regret_vs_global_best
0,103.94831925599478,28.64479456330112
1,132.27506817786966,56.971543485176
2,203.4071585849859,128.10363389229224
3,305.96735977982513,230.66383508713147
4,293.8623912438024,218.55886655110874
5,277.9401007004846,202.63657600779095
6,322.25577538682086,246.9522506941272
7,368.0866438949683,292.78311920227463
8,372.7661429124097,297.46261821971603
9,476.0886570876254,400.78513239493174
10,450.29303308192414,374.9895083892305
11,1436.875313852443,1361.5717891597494
12,1598.4887863791803,1523.1852616864867
