nodes,total,in_o1,in_o2,in_o3,exec_o1,exec_o2,exec_o3,out_o1,out_o2,out_o3,critical_path,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,in_individuals,read_individuals,write_individuals,out_individuals,in_individuals_merge,read_individuals_merge,write_individuals_merge,out_individuals_merge,in_sifting,read_sifting,write_sifting,out_sifting,in_frequency,read_frequency,write_frequency,out_frequency,in_mutation_overlap,read_mutation_overlap,write_mutation_overlap,out_mutation_overlap
10,136.18290769349943,113.21911962401092,0.0,0.0,14.543171437045148,8.026216259177458,0.3944003732659078,0.0,0.0,0.0,stage_in_individuals->read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,ssd,ssd,beegfs,beegfs,beegfs,113.219120,14.528248,0.014924,-,-,0.053225,0.010549,-,-,8.024373,0.001843,-,-,0.236821,0.157579,-,-,0.237677,0.056761,-
10,139.98619790093105,0.0,0.0,0.0,131.56558126848768,8.026216259177458,0.3944003732659078,0.0,0.0,0.0,read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,beegfs,beegfs,beegfs,beegfs,beegfs,-,131.556948,0.008634,-,-,0.209920,0.003812,-,-,8.024373,0.001843,-,-,0.236821,0.157579,-,-,0.237677,0.056761,-
10,139.98619790093105,0.0,0.0,0.0,131.56558126848768,8.026216259177458,0.3944003732659078,0.0,0.0,0.0,read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,beegfs,tmpfs,beegfs,beegfs,beegfs,-,131.556948,0.008634,-,-,0.079997,0.001721,-,-,8.024373,0.001843,-,-,0.236821,0.157579,-,-,0.237677,0.056761,-
10,139.98619790093105,0.0,0.0,0.0,131.56558126848768,8.026216259177458,0.3944003732659078,0.0,0.0,0.0,read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,beegfs,ssd,beegfs,beegfs,beegfs,-,131.556948,0.008634,-,-,0.053225,0.010549,-,-,8.024373,0.001843,-,-,0.236821,0.157579,-,-,0.237677,0.056761,-
5,146.4331328224213,113.21911962401092,0.0,0.0,16.926996528586713,15.595008483937173,0.6920081858864919,0.0,0.0,0.0,stage_in_individuals->read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,ssd,ssd,beegfs,beegfs,beegfs,113.219120,16.903609,0.023388,-,-,0.089313,0.014326,-,-,15.592181,0.002827,-,-,0.410046,0.281962,-,-,0.365981,0.094011,-
10,179.7257719779314,155.4700888053327,0.0,0.0,15.835066540155356,8.026216259177458,0.3944003732659078,0.0,0.0,0.0,stage_in_individuals->read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,tmpfs,tmpfs,beegfs,beegfs,beegfs,155.470089,15.834522,0.000545,-,-,0.079997,0.001721,-,-,8.024373,0.001843,-,-,0.236821,0.157579,-,-,0.237677,0.056761,-
5,187.23832443492128,0.0,0.0,0.0,170.95130776509762,15.595008483937173,0.6920081858864919,0.0,0.0,0.0,read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,beegfs,beegfs,beegfs,beegfs,beegfs,-,170.937830,0.013478,-,-,0.377584,0.005744,-,-,15.592181,0.002827,-,-,0.410046,0.281962,-,-,0.365981,0.094011,-
5,187.23832443492128,0.0,0.0,0.0,170.95130776509762,15.595008483937173,0.6920081858864919,0.0,0.0,0.0,read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,beegfs,tmpfs,beegfs,beegfs,beegfs,-,170.937830,0.013478,-,-,0.090208,0.001880,-,-,15.592181,0.002827,-,-,0.410046,0.281962,-,-,0.365981,0.094011,-
5,187.23832443492128,0.0,0.0,0.0,170.95130776509762,15.595008483937173,0.6920081858864919,0.0,0.0,0.0,read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,beegfs,ssd,beegfs,beegfs,beegfs,-,170.937830,0.013478,-,-,0.089313,0.014326,-,-,15.592181,0.002827,-,-,0.410046,0.281962,-,-,0.365981,0.094011,-
5,190.1190087857206,155.4700888053327,0.0,0.0,18.361903310564266,15.595008483937173,0.6920081858864919,0.0,0.0,0.0,stage_in_individuals->read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,tmpfs,tmpfs,beegfs,beegfs,beegfs,155.470089,18.361113,0.000790,-,-,0.090208,0.001880,-,-,15.592181,0.002827,-,-,0.410046,0.281962,-,-,0.365981,0.094011,-
2,215.85868267702847,155.4700888053327,0.0,0.0,41.215356706701144,18.225261980534277,0.9479751844603426,0.0,0.0,0.0,stage_in_individuals->read_individuals->write_individuals->read_sifting->write_sifting->read_frequency->write_frequency,tmpfs,tmpfs,beegfs,beegfs,beegfs,155.470089,41.213463,0.001893,-,-,0.094345,0.002340,-,-,18.220963,0.004299,-,-,0.526269,0.421706,-,-,0.457734,0.143594,-
