#,configuration
1,aggregate:tmpfs | inference:tmpfs | openmm:tmpfs | training:tmpfs
2,aggregate:tmpfs | inference:tmpfs | openmm:beegfs | training:tmpfs
3,aggregate:beegfs | inference:tmpfs | openmm:beegfs | training:tmpfs
4,aggregate:tmpfs | inference:ssd | openmm:beegfs | training:tmpfs
5,aggregate:beegfs | inference:ssd | openmm:beegfs | training:tmpfs
6,aggregate:tmpfs | inference:beegfs | openmm:tmpfs | training:tmpfs
7,aggregate:beegfs | inference:beegfs | openmm:beegfs | training:tmpfs
8,aggregate:tmpfs | inference:beegfs | openmm:beegfs | training:tmpfs
9,aggregate:beegfs | inference:tmpfs | openmm:tmpfs | training:tmpfs
10,aggregate:beegfs | inference:beegfs | openmm:tmpfs | training:tmpfs
11,aggregate:beegfs | inference:tmpfs | openmm:beegfs | training:beegfs
12,aggregate:ssd | inference:tmpfs | openmm:beegfs | training:beegfs
13,aggregate:beegfs | inference:ssd | openmm:beegfs | training:beegfs
14,aggregate:tmpfs | inference:tmpfs | openmm:beegfs | training:beegfs
15,aggregate:ssd | inference:ssd | openmm:beegfs | training:beegfs
16,aggregate:tmpfs | inference:ssd | openmm:beegfs | training:beegfs
17,aggregate:beegfs | inference:beegfs | openmm:tmpfs | training:beegfs
18,aggregate:beegfs | inference:beegfs | openmm:beegfs | training:beegfs
19,aggregate:ssd | inference:beegfs | openmm:beegfs | training:beegfs
20,aggregate:tmpfs | inference:beegfs | openmm:beegfs | training:beegfs
21,aggregate:beegfs | inference:beegfs | openmm:ssd | training:beegfs
22,aggregate:tmpfs | inference:tmpfs | openmm:tmpfs | training:beegfs
23,aggregate:beegfs | inference:tmpfs | openmm:tmpfs | training:beegfs
24,aggregate:ssd | inference:ssd | openmm:ssd | training:beegfs
25,aggregate:beegfs | inference:ssd | openmm:ssd | training:beegfs
26,aggregate:tmpfs | inference:beegfs | openmm:tmpfs | training:beegfs
27,aggregate:ssd | inference:beegfs | openmm:ssd | training:beegfs
28,aggregate:beegfs | inference:tmpfs | openmm:beegfs | training:ssd
29,aggregate:ssd | inference:tmpfs | openmm:beegfs | training:ssd
30,aggregate:ssd | inference:ssd | openmm:beegfs | training:ssd
31,aggregate:beegfs | inference:ssd | openmm:beegfs | training:ssd
32,aggregate:beegfs | inference:beegfs | openmm:beegfs | training:ssd
33,aggregate:ssd | inference:beegfs | openmm:beegfs | training:ssd
34,aggregate:ssd | inference:ssd | openmm:ssd | training:ssd
35,aggregate:ssd | inference:beegfs | openmm:ssd | training:ssd
36,aggregate:beegfs | inference:ssd | openmm:ssd | training:ssd
37,aggregate:beegfs | inference:beegfs | openmm:ssd | training:ssd
