producer,consumer,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM
aggregate,stage_out-aggregate,tmpfs,1,beegfs-ssd,1,0.3547071344314463
aggregate,stage_out-aggregate,ssd,1,beegfs-ssd,1,0.37378930198015825
aggregate,stage_out-aggregate,tmpfs,1,beegfs-tmpfs,1,0.4741083281871238
aggregate,stage_out-aggregate,ssd,1,beegfs-tmpfs,1,0.49319049573583573
aggregate,stage_out-aggregate,beegfs,1,beegfs-ssd,1,0.8460544600881901
aggregate,stage_out-aggregate,beegfs,1,beegfs-tmpfs,1,0.9654556538438674
aggregate,stage_out-aggregate,tmpfs,1,tmpfs-tmpfs,1,1.2738778477679842
aggregate,stage_out-aggregate,tmpfs,1,ssd-ssd,1,1.2856714575275847
aggregate,stage_out-aggregate,ssd,1,tmpfs-tmpfs,1,1.2929600153166962
aggregate,stage_out-aggregate,ssd,1,ssd-ssd,1,1.3047536250762968
aggregate,stage_out-aggregate,beegfs,1,tmpfs-tmpfs,1,1.765225173424728
aggregate,stage_out-aggregate,beegfs,1,ssd-ssd,1,1.7770187831843285
inference,stage_out-inference,tmpfs,1,beegfs-ssd,1,0.30449069170544885
inference,stage_out-inference,ssd,1,beegfs-ssd,1,0.319929501419507
inference,stage_out-inference,tmpfs,1,beegfs-tmpfs,1,0.40533828492456847
inference,stage_out-inference,ssd,1,beegfs-tmpfs,1,0.42077709463862656
inference,stage_out-inference,beegfs,1,beegfs-ssd,1,0.7274280640565645
inference,stage_out-inference,beegfs,1,beegfs-tmpfs,1,0.8282756572756841
inference,stage_out-inference,tmpfs,1,tmpfs-tmpfs,1,1.0823451475889034
inference,stage_out-inference,tmpfs,1,ssd-ssd,1,1.0923516253652161
inference,stage_out-inference,ssd,1,tmpfs-tmpfs,1,1.0977839573029617
inference,stage_out-inference,ssd,1,ssd-ssd,1,1.1077904350792744
inference,stage_out-inference,beegfs,1,tmpfs-tmpfs,1,1.5052825199400193
