nodes,total,in_o0,in_o1,in_o2,exec_o0,exec_o1,exec_o2,out_o0,out_o1,out_o2,critical_path,openmm_stor,aggregate_stor,training_stor,inference_stor,in_openmm,read_openmm,write_openmm,out_openmm,in_aggregate,read_aggregate,write_aggregate,out_aggregate,in_training,read_training,write_training,out_training,in_inference,read_inference,write_inference,out_inference
1,4.15590241852839,0.0459995619746752,0.0,0.0,0.041074799205917695,1.92243517643689,0.4303109022903254,1.6889938558178867,0.0,0.0270881228026942,stage_in_openmm(6)->read_openmm(12)->write_openmm(12)->stage_out_openmm(6)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1)->stage_out_inference(4),tmpfs,tmpfs,tmpfs,tmpfs,0.046000,0.020537,0.020538,1.688994,-,0.249123,0.249123,-,-,0.598188,1.324248,-,-,0.215155,0.215155,0.027088
4,4.172103367673279,0.0459995619746752,0.0,0.0,0.0572757483508076,1.92243517643689,0.4303109022903254,1.6889938558178867,0.0,0.0270881228026942,stage_in_openmm(6)->read_openmm(3)->write_openmm(3)->stage_out_openmm(6)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1)->stage_out_inference(4),tmpfs,tmpfs,tmpfs,tmpfs,0.046000,0.028638,0.028638,1.688994,-,0.249123,0.249123,-,-,0.598188,1.324248,-,-,0.215155,0.215155,0.027088
2,4.1772518339189215,0.0459995619746752,0.0,0.0,0.06242421459645,1.92243517643689,0.4303109022903254,1.6889938558178867,0.0,0.0270881228026942,stage_in_openmm(6)->read_openmm(6)->write_openmm(6)->stage_out_openmm(6)->read_training(1)->write_training(1)->read_inference(1)->write_inference(1)->stage_out_inference(4),tmpfs,tmpfs,tmpfs,tmpfs,0.046000,0.031212,0.031212,1.688994,-,0.249123,0.249123,-,-,0.598188,1.324248,-,-,0.215155,0.215155,0.027088
4,4.275566834911942,0.0,1.5872028175793893,0.0268923616797743,0.2356378921481932,1.92243517643689,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(3)->write_openmm(3)->stage_out_openmm(6)->stage_in_training(9)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,beegfs,tmpfs,tmpfs,-,0.117818,0.117820,0.046000,-,0.740471,0.740471,-,1.587203,0.598188,1.324248,-,0.026892,0.215155,0.215155,0.027088
4,4.275566834911942,0.0,1.5872028175793893,0.0268923616797743,0.2356378921481932,1.92243517643689,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(3)->write_openmm(3)->stage_out_openmm(6)->stage_in_training(9)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,tmpfs,tmpfs,tmpfs,-,0.117818,0.117820,0.046000,0.071207,0.249123,0.249123,-,1.587203,0.598188,1.324248,-,0.026892,0.215155,0.215155,0.027088
4,4.341367678850848,0.0,1.5872028175793893,0.0211950940044729,0.2356378921481932,1.92243517643689,0.4611885217184416,0.0459995619746752,0.0,0.0677086149887858,read_openmm(3)->write_openmm(3)->stage_out_openmm(6)->stage_in_training(9)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,beegfs,tmpfs,ssd,-,0.117818,0.117820,0.046000,-,0.740471,0.740471,-,1.587203,0.598188,1.324248,-,0.021195,0.230594,0.230594,0.067709
4,4.341367678850848,0.0,1.5872028175793893,0.0211950940044729,0.2356378921481932,1.92243517643689,0.4611885217184416,0.0459995619746752,0.0,0.0677086149887858,read_openmm(3)->write_openmm(3)->stage_out_openmm(6)->stage_in_training(9)->read_training(1)->write_training(1)->stage_in_inference(13)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,tmpfs,tmpfs,ssd,-,0.117818,0.117820,0.046000,0.071207,0.249123,0.249123,-,1.587203,0.598188,1.324248,-,0.021195,0.230594,0.230594,0.067709
2,4.362386392836811,0.0,1.5872028175793893,0.0268923616797743,0.32245745007306303,1.92243517643689,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(6)->write_openmm(6)->stage_out_openmm(6)->stage_in_training(9)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,beegfs,tmpfs,tmpfs,-,0.161227,0.161230,0.046000,-,0.740471,0.740471,-,1.587203,0.598188,1.324248,-,0.026892,0.215155,0.215155,0.027088
2,4.362386392836811,0.0,1.5872028175793893,0.0268923616797743,0.32245745007306303,1.92243517643689,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(6)->write_openmm(6)->stage_out_openmm(6)->stage_in_training(9)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,tmpfs,tmpfs,tmpfs,-,0.161227,0.161230,0.046000,0.071207,0.249123,0.249123,-,1.587203,0.598188,1.324248,-,0.026892,0.215155,0.215155,0.027088
1,4.418245529758942,0.0,1.5872028175793893,0.0268923616797743,0.3783165869951943,1.92243517643689,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(12)->write_openmm(12)->stage_out_openmm(6)->stage_in_training(9)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,beegfs,tmpfs,tmpfs,-,0.189156,0.189160,0.046000,-,0.740471,0.740471,-,1.587203,0.598188,1.324248,-,0.026892,0.215155,0.215155,0.027088
1,4.418245529758942,0.0,1.5872028175793893,0.0268923616797743,0.3783165869951943,1.92243517643689,0.4303109022903254,0.0459995619746752,0.0,0.0270881228026942,read_openmm(12)->write_openmm(12)->stage_out_openmm(6)->stage_in_training(9)->read_training(1)->write_training(1)->stage_in_inference(4)->read_inference(1)->write_inference(1)->stage_out_inference(4),beegfs,tmpfs,tmpfs,tmpfs,-,0.189156,0.189160,0.046000,0.071207,0.249123,0.249123,-,1.587203,0.598188,1.324248,-,0.026892,0.215155,0.215155,0.027088
