operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB
0,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,"[1, 2, 4]",1,12,277.58957772996246,5,7172,openmm,190075-dlt02,stage0000_task0000.h5,0,,174.60818481445312
0,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,"[1, 2, 4]",2,6,277.58957772996246,5,7172,openmm,190075-dlt02,stage0000_task0000.h5,0,,87.30409240722656
0,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,"[1, 2, 4]",4,3,277.58957772996246,5,7172,openmm,190075-dlt02,stage0000_task0000.h5,0,,43.65204620361328
0,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,"[1, 2, 4]",1,12,277.58957772996246,5,7172,openmm,190075-dlt02,stage0000_task0000.dcd,0,,174.60818481445312
0,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,"[1, 2, 4]",2,6,277.58957772996246,5,7172,openmm,190075-dlt02,stage0000_task0000.dcd,0,,87.30409240722656
0,1,1066.3976575571667,7.293895721435547,12,12,0.026275827,"[1, 2, 4]",4,3,277.58957772996246,5,7172,openmm,190075-dlt02,stage0000_task0000.dcd,0,,43.65204620361328
1,1,354.246967242265,17.0992431640625,1,1,0.211423541,"[1, 2, 4]",1,1,80.87672301384121,5,50614,aggregate,190758-dlt02,stage0000_task0007.h5,1,openmm,714.5681018829346
1,1,354.246967242265,17.0992431640625,1,1,0.211423541,"[1, 2, 4]",1,1,80.87672301384121,5,50614,aggregate,190758-dlt02,stage0000_task0007.h5,1,openmm,714.5681018829346
1,1,354.246967242265,17.0992431640625,1,1,0.211423541,"[1, 2, 4]",1,1,80.87672301384121,5,50614,aggregate,190758-dlt02,stage0000_task0007.h5,1,openmm,714.5681018829346
1,1,354.246967242265,17.0992431640625,1,1,0.211423541,"[1, 2, 4]",1,1,80.87672301384121,5,50614,aggregate,190758-dlt02,stage0000_task0002.h5,1,openmm,714.5681018829346
1,1,354.246967242265,17.0992431640625,1,1,0.211423541,"[1, 2, 4]",1,1,80.87672301384121,5,50614,aggregate,190758-dlt02,stage0000_task0002.h5,1,openmm,714.5681018829346
1,1,354.246967242265,17.0992431640625,1,1,0.211423541,"[1, 2, 4]",1,1,80.87672301384121,5,50614,aggregate,190758-dlt02,stage0000_task0002.h5,1,openmm,714.5681018829346
1,1,354.246967242265,17.0992431640625,1,1,0.211423541,"[1, 2, 4]",1,1,80.87672301384121,5,50614,aggregate,190758-dlt02,stage0000_task0010.h5,1,openmm,714.5681018829346
1,1,354.246967242265,17.0992431640625,1,1,0.211423541,"[1, 2, 4]",1,1,80.87672301384121,5,50614,aggregate,190758-dlt02,stage0000_task0010.h5,1,openmm,714.5681018829346
