operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
write,1,3099.1270144189994,27.876821517944336,240,240,0.21110354,"[8, 16, 32]",8,30,132.05283775887574,pfs,9432,run_mapfeature,97281-dc079,mcstrack_20160801_211500.nc,8,run_idfeature
write,1,3099.1270144189994,27.876821517944336,240,240,0.21110354,"[8, 16, 32]",16,15,132.05283775887574,pfs,9432,run_mapfeature,97281-dc079,mcstrack_20160801_211500.nc,8,run_idfeature
write,1,3099.1270144189994,27.876821517944336,240,240,0.21110354,"[8, 16, 32]",32,8,132.05283775887574,pfs,9432,run_mapfeature,97281-dc079,mcstrack_20160801_211500.nc,8,run_idfeature
read,1,5274.705008255366,27.42044162750244,240,240,0.61587936,"[8, 16, 32]",8,30,44.52242339717707,pfs,5451,run_mapfeature,97281-dc079,cloudid_20160801_211500.nc,8,run_idfeature
read,1,5274.705008255366,27.42044162750244,240,240,0.61587936,"[8, 16, 32]",16,15,44.52242339717707,pfs,5451,run_mapfeature,97281-dc079,cloudid_20160801_211500.nc,8,run_idfeature
read,1,5274.705008255366,27.42044162750244,240,240,0.61587936,"[8, 16, 32]",32,8,44.52242339717707,pfs,5451,run_mapfeature,97281-dc079,cloudid_20160801_211500.nc,8,run_idfeature
write,1,3146.9433842239187,28.30693244934082,240,240,0.169669576,"[8, 16, 32]",8,30,166.83564087730628,pfs,9432,run_mapfeature,205766-dc068,mcstrack_20160803_141500.nc,8,run_idfeature
write,1,3146.9433842239187,28.30693244934082,240,240,0.169669576,"[8, 16, 32]",16,15,166.83564087730628,pfs,9432,run_mapfeature,205766-dc068,mcstrack_20160803_141500.nc,8,run_idfeature
write,1,3146.9433842239187,28.30693244934082,240,240,0.169669576,"[8, 16, 32]",32,8,166.83564087730628,pfs,9432,run_mapfeature,205766-dc068,mcstrack_20160803_141500.nc,8,run_idfeature
read,1,5354.9403779123095,27.837543487548828,240,240,1.152781743,"[8, 16, 32]",8,30,24.148147432578508,pfs,5451,run_mapfeature,205766-dc068,cloudid_20160803_141500.nc,8,run_idfeature
read,1,5354.9403779123095,27.837543487548828,240,240,1.152781743,"[8, 16, 32]",16,15,24.148147432578508,pfs,5451,run_mapfeature,205766-dc068,cloudid_20160803_141500.nc,8,run_idfeature
read,1,5354.9403779123095,27.837543487548828,240,240,1.152781743,"[8, 16, 32]",32,8,24.148147432578508,pfs,5451,run_mapfeature,205766-dc068,cloudid_20160803_141500.nc,8,run_idfeature
read,1,590.184362934363,0.5831060409545898,240,240,0.107819713,"[8, 16, 32]",8,30,5.408157977146441,pfs,1036,run_tracksingle,169622-dc078,cloudid_20160802_221500.nc,2,run_idfeature
read,1,590.184362934363,0.5831060409545898,240,240,0.107819713,"[8, 16, 32]",16,15,5.408157977146441,pfs,1036,run_tracksingle,169622-dc078,cloudid_20160802_221500.nc,2,run_idfeature
