region,size,mean,std,run_idfeature_stor,run_tracksingle_stor,run_gettracks_stor,run_trackstats_stor,run_identifymcs_stor,run_matchpf_stor,run_robustmcs_stor,run_mapfeature_stor,run_speed_stor,nodes
18,492,0.1034244740004925,0.047750779210485594,*,beegfs,*,*,*,*,*,beegfs,*,"2,4,8"
19,348,0.984189544431837,0.38416864579965776,*,beegfs,*,*,*,*,*,beegfs,beegfs,"2,4,8"
24,1253,1.8852270210929356,0.3357464606652574,beegfs,*,*,*,*,*,*,*,*,8
23,1253,2.4987199535238616,0.38421366633482684,beegfs,*,*,*,*,*,*,*,*,4
21,1253,3.5343451592563784,0.6663651983449538,beegfs,*,*,*,*,*,*,*,*,2
15,252,16.844854656228115,0.19214239974317837,tmpfs,beegfs,*,*,*,*,*,tmpfs,*,"2,4,8"
9,420,17.034477395102975,0.5077194873677588,tmpfs,tmpfs,*,*,*,*,*,beegfs,*,"2,4,8"
12,280,19.13032017728466,0.3722037050865278,ssd,ssd,*,*,*,*,*,beegfs,*,"4,8"
16,252,19.838174036759582,1.1921107618178708,ssd,beegfs,*,*,*,*,*,ssd,*,"2,4,8"
11,140,21.739445911936393,0.689174932184315,ssd,ssd,*,*,*,*,*,beegfs,*,2
7,252,33.41906584184076,0.20337507390962578,tmpfs,tmpfs,*,*,*,*,*,tmpfs,*,"2,4,8"
6,168,37.77228842778051,0.28985082919330607,ssd,ssd,*,*,*,*,*,ssd,*,"4,8"
5,84,42.54095298776211,0.25798343171020727,ssd,ssd,*,*,*,*,*,ssd,*,2
