,operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB,estimated_trMiB_beegfs-ssd_15p,estimated_ts_slope_beegfs-ssd_15p,estimated_trMiB_beegfs-ssd_9p,estimated_ts_slope_beegfs-ssd_9p,estimated_trMiB_beegfs-tmpfs_15p,estimated_ts_slope_beegfs-tmpfs_15p,estimated_trMiB_beegfs-tmpfs_9p,estimated_ts_slope_beegfs-tmpfs_9p,estimated_trMiB_ssd-ssd_15p,estimated_ts_slope_ssd-ssd_15p,estimated_trMiB_ssd-ssd_9p,estimated_ts_slope_ssd-ssd_9p,estimated_trMiB_tmpfs-tmpfs_15p,estimated_ts_slope_tmpfs-tmpfs_15p,estimated_trMiB_tmpfs-tmpfs_9p,estimated_ts_slope_tmpfs-tmpfs_9p,estimated_trMiB_ssd_24p,estimated_ts_slope_ssd_24p,estimated_trMiB_beegfs_24p,estimated_ts_slope_beegfs_24p,estimated_trMiB_tmpfs_24p,estimated_ts_slope_tmpfs_24p,estimated_trMiB_beegfs-ssd_6p,estimated_ts_slope_beegfs-ssd_6p,estimated_trMiB_beegfs-tmpfs_6p,estimated_ts_slope_beegfs-tmpfs_6p,estimated_trMiB_ssd-ssd_6p,estimated_ts_slope_ssd-ssd_6p,estimated_trMiB_tmpfs-tmpfs_6p,estimated_ts_slope_tmpfs-tmpfs_6p,estimated_trMiB_beegfs-ssd_12p,estimated_ts_slope_beegfs-ssd_12p,estimated_trMiB_beegfs-tmpfs_12p,estimated_ts_slope_beegfs-tmpfs_12p,estimated_trMiB_ssd-ssd_12p,estimated_ts_slope_ssd-ssd_12p,estimated_trMiB_tmpfs-tmpfs_12p,estimated_ts_slope_tmpfs-tmpfs_12p,estimated_trMiB_beegfs-ssd_1p,estimated_ts_slope_beegfs-ssd_1p,estimated_trMiB_beegfs-tmpfs_1p,estimated_ts_slope_beegfs-tmpfs_1p,estimated_trMiB_ssd-ssd_1p,estimated_ts_slope_ssd-ssd_1p,estimated_trMiB_tmpfs-tmpfs_1p,estimated_ts_slope_tmpfs-tmpfs_1p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p,estimated_trMiB_tmpfs_1p,estimated_ts_slope_tmpfs_1p,estimated_trMiB_beegfs-ssd_10p,estimated_ts_slope_beegfs-ssd_10p,estimated_trMiB_beegfs-tmpfs_10p,estimated_ts_slope_beegfs-tmpfs_10p,estimated_trMiB_ssd-ssd_10p,estimated_ts_slope_ssd-ssd_10p,estimated_trMiB_tmpfs-tmpfs_10p,estimated_ts_slope_tmpfs-tmpfs_10p,estimated_trMiB_tmpfs-beegfs_15p,estimated_ts_slope_tmpfs-beegfs_15p,estimated_trMiB_tmpfs-beegfs_9p,estimated_ts_slope_tmpfs-beegfs_9p,estimated_trMiB_ssd-beegfs_15p,estimated_ts_slope_ssd-beegfs_15p,estimated_trMiB_ssd-beegfs_9p,estimated_ts_slope_ssd-beegfs_9p
0,cp,0,4096.0,,60,60,,[4],4,15,,beegfs-ssd,60,stage_in-run_idfeature,,"cloudid_20160802_061500.nc,pr_rlut_mean_sam_2016080206.nc,cloudid_20160802_041500.nc,pr_rlut_mean_sam_2016080204.nc,cloudid_20160801_011500.nc,cloudid_20160801_131500.nc,pr_rlut_mean_sam_2016080101.nc,pr_rlut_mean_sam_2016080113.nc,cloudid_20160802_111500.nc,pr_rlut_mean_sam_2016080211.nc,cloudid_20160801_231500.nc,pr_rlut_mean_sam_2016080123.nc,cloudid_20160801_071500.nc,pr_rlut_mean_sam_2016080107.nc,cloudid_20160802_211500.nc,pr_rlut_mean_sam_2016080221.nc,cloudid_20160801_201500.nc,pr_rlut_mean_sam_2016080120.nc,cloudid_20160802_171500.nc,pr_rlut_mean_sam_2016080217.nc,cloudid_20160801_031500.nc,pr_rlut_mean_sam_2016080103.nc,cloudid_20160801_081500.nc,pr_rlut_mean_sam_2016080108.nc,cloudid_20160801_021500.nc,pr_rlut_mean_sam_2016080102.nc,cloudid_20160802_141500.nc,pr_rlut_mean_sam_2016080214.nc,cloudid_20160802_101500.nc,pr_rlut_mean_sam_2016080210.nc,cloudid_20160802_091500.nc,pr_rlut_mean_sam_2016080209.nc,cloudid_20160802_181500.nc,pr_rlut_mean_sam_2016080218.nc,cloudid_20160801_061500.nc,pr_rlut_mean_sam_2016080106.nc,cloudid_20160802_011500.nc,pr_rlut_mean_sam_2016080201.nc,cloudid_20160802_051500.nc,pr_rlut_mean_sam_2016080205.nc,cloudid_20160802_151500.nc,pr_rlut_mean_sam_2016080215.nc,cloudid_20160801_181500.nc,pr_rlut_mean_sam_2016080118.nc,cloudid_20160802_201500.nc,pr_rlut_mean_sam_2016080220.nc,cloudid_20160802_081500.nc,pr_rlut_mean_sam_2016080208.nc,cloudid_20160801_091500.nc,pr_rlut_mean_sam_2016080109.nc,cloudid_20160802_021500.nc,pr_rlut_mean_sam_2016080202.nc,cloudid_20160802_131500.nc,pr_rlut_mean_sam_2016080213.nc,cloudid_20160801_101500.nc,pr_rlut_mean_sam_2016080110.nc,cloudid_20160801_161500.nc,pr_rlut_mean_sam_2016080116.nc,cloudid_20160801_111500.nc,pr_rlut_mean_sam_2016080111.nc",0.5,,1879.7322225570679,5005.078128521652,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,cp,0,4096.0,,36,36,,[4],4,9,,beegfs-ssd,36,stage_in-run_idfeature,,"cloudid_20160801_141500.nc,pr_rlut_mean_sam_2016080114.nc,cloudid_20160801_003000.nc,cloudid_20160802_071500.nc,pr_rlut_mean_sam_2016080100.nc,pr_rlut_mean_sam_2016080207.nc,cloudid_20160801_151500.nc,pr_rlut_mean_sam_2016080115.nc,cloudid_20160802_121500.nc,pr_rlut_mean_sam_2016080212.nc,cloudid_20160801_041500.nc,pr_rlut_mean_sam_2016080104.nc,cloudid_20160802_001500.nc,pr_rlut_mean_sam_2016080200.nc,cloudid_20160802_221500.nc,pr_rlut_mean_sam_2016080222.nc,cloudid_20160801_171500.nc,pr_rlut_mean_sam_2016080117.nc,cloudid_20160801_121500.nc,pr_rlut_mean_sam_2016080112.nc,cloudid_20160801_221500.nc,pr_rlut_mean_sam_2016080122.nc,cloudid_20160801_051500.nc,pr_rlut_mean_sam_2016080105.nc,cloudid_20160801_211500.nc,pr_rlut_mean_sam_2016080121.nc,cloudid_20160802_191500.nc,pr_rlut_mean_sam_2016080219.nc,cloudid_20160801_191500.nc,pr_rlut_mean_sam_2016080119.nc,cloudid_20160802_231500.nc,pr_rlut_mean_sam_2016080223.nc,cloudid_20160802_161500.nc,pr_rlut_mean_sam_2016080216.nc,cloudid_20160802_031500.nc,pr_rlut_mean_sam_2016080203.nc",0.5,,1169.1984386444092,,,5241.968970667135,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,cp,0,4096.0,,60,60,,[4],4,15,,beegfs-tmpfs,60,stage_in-run_idfeature,,"cloudid_20160802_061500.nc,pr_rlut_mean_sam_2016080206.nc,cloudid_20160802_041500.nc,pr_rlut_mean_sam_2016080204.nc,cloudid_20160801_011500.nc,cloudid_20160801_131500.nc,pr_rlut_mean_sam_2016080101.nc,pr_rlut_mean_sam_2016080113.nc,cloudid_20160802_111500.nc,pr_rlut_mean_sam_2016080211.nc,cloudid_20160801_231500.nc,pr_rlut_mean_sam_2016080123.nc,cloudid_20160801_071500.nc,pr_rlut_mean_sam_2016080107.nc,cloudid_20160802_211500.nc,pr_rlut_mean_sam_2016080221.nc,cloudid_20160801_201500.nc,pr_rlut_mean_sam_2016080120.nc,cloudid_20160802_171500.nc,pr_rlut_mean_sam_2016080217.nc,cloudid_20160801_031500.nc,pr_rlut_mean_sam_2016080103.nc,cloudid_20160801_081500.nc,pr_rlut_mean_sam_2016080108.nc,cloudid_20160801_021500.nc,pr_rlut_mean_sam_2016080102.nc,cloudid_20160802_141500.nc,pr_rlut_mean_sam_2016080214.nc,cloudid_20160802_101500.nc,pr_rlut_mean_sam_2016080210.nc,cloudid_20160802_091500.nc,pr_rlut_mean_sam_2016080209.nc,cloudid_20160802_181500.nc,pr_rlut_mean_sam_2016080218.nc,cloudid_20160801_061500.nc,pr_rlut_mean_sam_2016080106.nc,cloudid_20160802_011500.nc,pr_rlut_mean_sam_2016080201.nc,cloudid_20160802_051500.nc,pr_rlut_mean_sam_2016080205.nc,cloudid_20160802_151500.nc,pr_rlut_mean_sam_2016080215.nc,cloudid_20160801_181500.nc,pr_rlut_mean_sam_2016080118.nc,cloudid_20160802_201500.nc,pr_rlut_mean_sam_2016080220.nc,cloudid_20160802_081500.nc,pr_rlut_mean_sam_2016080208.nc,cloudid_20160801_091500.nc,pr_rlut_mean_sam_2016080109.nc,cloudid_20160802_021500.nc,pr_rlut_mean_sam_2016080202.nc,cloudid_20160802_131500.nc,pr_rlut_mean_sam_2016080213.nc,cloudid_20160801_101500.nc,pr_rlut_mean_sam_2016080110.nc,cloudid_20160801_161500.nc,pr_rlut_mean_sam_2016080116.nc,cloudid_20160801_111500.nc,pr_rlut_mean_sam_2016080111.nc",0.5,,1879.7322225570679,,,,,3382.9129259850138,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,cp,0,4096.0,,36,36,,[4],4,9,,beegfs-tmpfs,36,stage_in-run_idfeature,,"cloudid_20160801_141500.nc,pr_rlut_mean_sam_2016080114.nc,cloudid_20160801_003000.nc,cloudid_20160802_071500.nc,pr_rlut_mean_sam_2016080100.nc,pr_rlut_mean_sam_2016080207.nc,cloudid_20160801_151500.nc,pr_rlut_mean_sam_2016080115.nc,cloudid_20160802_121500.nc,pr_rlut_mean_sam_2016080212.nc,cloudid_20160801_041500.nc,pr_rlut_mean_sam_2016080104.nc,cloudid_20160802_001500.nc,pr_rlut_mean_sam_2016080200.nc,cloudid_20160802_221500.nc,pr_rlut_mean_sam_2016080222.nc,cloudid_20160801_171500.nc,pr_rlut_mean_sam_2016080117.nc,cloudid_20160801_121500.nc,pr_rlut_mean_sam_2016080112.nc,cloudid_20160801_221500.nc,pr_rlut_mean_sam_2016080122.nc,cloudid_20160801_051500.nc,pr_rlut_mean_sam_2016080105.nc,cloudid_20160801_211500.nc,pr_rlut_mean_sam_2016080121.nc,cloudid_20160802_191500.nc,pr_rlut_mean_sam_2016080219.nc,cloudid_20160801_191500.nc,pr_rlut_mean_sam_2016080119.nc,cloudid_20160802_231500.nc,pr_rlut_mean_sam_2016080223.nc,cloudid_20160802_161500.nc,pr_rlut_mean_sam_2016080216.nc,cloudid_20160802_031500.nc,pr_rlut_mean_sam_2016080203.nc",0.5,,1169.1984386444092,,,,,,,3553.9453048054074,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,scp,0,4096.0,,60,60,,[4],4,15,,ssd-ssd,60,stage_in-run_idfeature,,"cloudid_20160802_061500.nc,pr_rlut_mean_sam_2016080206.nc,cloudid_20160802_041500.nc,pr_rlut_mean_sam_2016080204.nc,cloudid_20160801_011500.nc,cloudid_20160801_131500.nc,pr_rlut_mean_sam_2016080101.nc,pr_rlut_mean_sam_2016080113.nc,cloudid_20160802_111500.nc,pr_rlut_mean_sam_2016080211.nc,cloudid_20160801_231500.nc,pr_rlut_mean_sam_2016080123.nc,cloudid_20160801_071500.nc,pr_rlut_mean_sam_2016080107.nc,cloudid_20160802_211500.nc,pr_rlut_mean_sam_2016080221.nc,cloudid_20160801_201500.nc,pr_rlut_mean_sam_2016080120.nc,cloudid_20160802_171500.nc,pr_rlut_mean_sam_2016080217.nc,cloudid_20160801_031500.nc,pr_rlut_mean_sam_2016080103.nc,cloudid_20160801_081500.nc,pr_rlut_mean_sam_2016080108.nc,cloudid_20160801_021500.nc,pr_rlut_mean_sam_2016080102.nc,cloudid_20160802_141500.nc,pr_rlut_mean_sam_2016080214.nc,cloudid_20160802_101500.nc,pr_rlut_mean_sam_2016080210.nc,cloudid_20160802_091500.nc,pr_rlut_mean_sam_2016080209.nc,cloudid_20160802_181500.nc,pr_rlut_mean_sam_2016080218.nc,cloudid_20160801_061500.nc,pr_rlut_mean_sam_2016080106.nc,cloudid_20160802_011500.nc,pr_rlut_mean_sam_2016080201.nc,cloudid_20160802_051500.nc,pr_rlut_mean_sam_2016080205.nc,cloudid_20160802_151500.nc,pr_rlut_mean_sam_2016080215.nc,cloudid_20160801_181500.nc,pr_rlut_mean_sam_2016080118.nc,cloudid_20160802_201500.nc,pr_rlut_mean_sam_2016080220.nc,cloudid_20160802_081500.nc,pr_rlut_mean_sam_2016080208.nc,cloudid_20160801_091500.nc,pr_rlut_mean_sam_2016080109.nc,cloudid_20160802_021500.nc,pr_rlut_mean_sam_2016080202.nc,cloudid_20160802_131500.nc,pr_rlut_mean_sam_2016080213.nc,cloudid_20160801_101500.nc,pr_rlut_mean_sam_2016080110.nc,cloudid_20160801_161500.nc,pr_rlut_mean_sam_2016080116.nc,cloudid_20160801_111500.nc,pr_rlut_mean_sam_2016080111.nc",0.5,,1879.7322225570679,,,,,,,,,102.09189796811954,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,scp,0,4096.0,,36,36,,[4],4,9,,ssd-ssd,36,stage_in-run_idfeature,,"cloudid_20160801_141500.nc,pr_rlut_mean_sam_2016080114.nc,cloudid_20160801_003000.nc,cloudid_20160802_071500.nc,pr_rlut_mean_sam_2016080100.nc,pr_rlut_mean_sam_2016080207.nc,cloudid_20160801_151500.nc,pr_rlut_mean_sam_2016080115.nc,cloudid_20160802_121500.nc,pr_rlut_mean_sam_2016080212.nc,cloudid_20160801_041500.nc,pr_rlut_mean_sam_2016080104.nc,cloudid_20160802_001500.nc,pr_rlut_mean_sam_2016080200.nc,cloudid_20160802_221500.nc,pr_rlut_mean_sam_2016080222.nc,cloudid_20160801_171500.nc,pr_rlut_mean_sam_2016080117.nc,cloudid_20160801_121500.nc,pr_rlut_mean_sam_2016080112.nc,cloudid_20160801_221500.nc,pr_rlut_mean_sam_2016080122.nc,cloudid_20160801_051500.nc,pr_rlut_mean_sam_2016080105.nc,cloudid_20160801_211500.nc,pr_rlut_mean_sam_2016080121.nc,cloudid_20160802_191500.nc,pr_rlut_mean_sam_2016080219.nc,cloudid_20160801_191500.nc,pr_rlut_mean_sam_2016080119.nc,cloudid_20160802_231500.nc,pr_rlut_mean_sam_2016080223.nc,cloudid_20160802_161500.nc,pr_rlut_mean_sam_2016080216.nc,cloudid_20160802_031500.nc,pr_rlut_mean_sam_2016080203.nc",0.5,,1169.1984386444092,,,,,,,,,,,102.11620203426448,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,scp,0,4096.0,,60,60,,[4],4,15,,tmpfs-tmpfs,60,stage_in-run_idfeature,,"cloudid_20160802_061500.nc,pr_rlut_mean_sam_2016080206.nc,cloudid_20160802_041500.nc,pr_rlut_mean_sam_2016080204.nc,cloudid_20160801_011500.nc,cloudid_20160801_131500.nc,pr_rlut_mean_sam_2016080101.nc,pr_rlut_mean_sam_2016080113.nc,cloudid_20160802_111500.nc,pr_rlut_mean_sam_2016080211.nc,cloudid_20160801_231500.nc,pr_rlut_mean_sam_2016080123.nc,cloudid_20160801_071500.nc,pr_rlut_mean_sam_2016080107.nc,cloudid_20160802_211500.nc,pr_rlut_mean_sam_2016080221.nc,cloudid_20160801_201500.nc,pr_rlut_mean_sam_2016080120.nc,cloudid_20160802_171500.nc,pr_rlut_mean_sam_2016080217.nc,cloudid_20160801_031500.nc,pr_rlut_mean_sam_2016080103.nc,cloudid_20160801_081500.nc,pr_rlut_mean_sam_2016080108.nc,cloudid_20160801_021500.nc,pr_rlut_mean_sam_2016080102.nc,cloudid_20160802_141500.nc,pr_rlut_mean_sam_2016080214.nc,cloudid_20160802_101500.nc,pr_rlut_mean_sam_2016080210.nc,cloudid_20160802_091500.nc,pr_rlut_mean_sam_2016080209.nc,cloudid_20160802_181500.nc,pr_rlut_mean_sam_2016080218.nc,cloudid_20160801_061500.nc,pr_rlut_mean_sam_2016080106.nc,cloudid_20160802_011500.nc,pr_rlut_mean_sam_2016080201.nc,cloudid_20160802_051500.nc,pr_rlut_mean_sam_2016080205.nc,cloudid_20160802_151500.nc,pr_rlut_mean_sam_2016080215.nc,cloudid_20160801_181500.nc,pr_rlut_mean_sam_2016080118.nc,cloudid_20160802_201500.nc,pr_rlut_mean_sam_2016080220.nc,cloudid_20160802_081500.nc,pr_rlut_mean_sam_2016080208.nc,cloudid_20160801_091500.nc,pr_rlut_mean_sam_2016080109.nc,cloudid_20160802_021500.nc,pr_rlut_mean_sam_2016080202.nc,cloudid_20160802_131500.nc,pr_rlut_mean_sam_2016080213.nc,cloudid_20160801_101500.nc,pr_rlut_mean_sam_2016080110.nc,cloudid_20160801_161500.nc,pr_rlut_mean_sam_2016080116.nc,cloudid_20160801_111500.nc,pr_rlut_mean_sam_2016080111.nc",0.5,,1879.7322225570679,,,,,,,,,,,,,102.5847448449013,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,scp,0,4096.0,,36,36,,[4],4,9,,tmpfs-tmpfs,36,stage_in-run_idfeature,,"cloudid_20160801_141500.nc,pr_rlut_mean_sam_2016080114.nc,cloudid_20160801_003000.nc,cloudid_20160802_071500.nc,pr_rlut_mean_sam_2016080100.nc,pr_rlut_mean_sam_2016080207.nc,cloudid_20160801_151500.nc,pr_rlut_mean_sam_2016080115.nc,cloudid_20160802_121500.nc,pr_rlut_mean_sam_2016080212.nc,cloudid_20160801_041500.nc,pr_rlut_mean_sam_2016080104.nc,cloudid_20160802_001500.nc,pr_rlut_mean_sam_2016080200.nc,cloudid_20160802_221500.nc,pr_rlut_mean_sam_2016080222.nc,cloudid_20160801_171500.nc,pr_rlut_mean_sam_2016080117.nc,cloudid_20160801_121500.nc,pr_rlut_mean_sam_2016080112.nc,cloudid_20160801_221500.nc,pr_rlut_mean_sam_2016080122.nc,cloudid_20160801_051500.nc,pr_rlut_mean_sam_2016080105.nc,cloudid_20160801_211500.nc,pr_rlut_mean_sam_2016080121.nc,cloudid_20160802_191500.nc,pr_rlut_mean_sam_2016080219.nc,cloudid_20160801_191500.nc,pr_rlut_mean_sam_2016080119.nc,cloudid_20160802_231500.nc,pr_rlut_mean_sam_2016080223.nc,cloudid_20160802_161500.nc,pr_rlut_mean_sam_2016080216.nc,cloudid_20160802_031500.nc,pr_rlut_mean_sam_2016080203.nc",0.5,,1169.1984386444092,,,,,,,,,,,,,,,102.21977833066164,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,1,5441.714993332063,27.24033546447754,96,96,0.097976748,[4],4,24,278.0285733149414,5,5249,run_idfeature,101188-dc002,cloudid_20160802_061500.nc,1.0,,762.2326653003693,,,,,,,,,,,,,,,,,3357.55748240285,0.0012884066648782776,6084.121806437968,0.0012884066648782776,91433.76012980015,0.0012884066648782776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,1,6632.008785332315,33.11652946472168,96,96,0.18862309,[4],4,24,175.5698597914056,5,5236,run_idfeature,101188-dc002,pr_rlut_mean_sam_2016080206.nc,1.0,initial_data,762.2326653003693,,,,,,,,,,,,,,,,,168876.90446025043,0.00242801086218244,21410.128729317974,0.00242801086218244,117139.29535183118,0.00242801086218244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
