operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB
cp,0,4096.0,,60,60,,[4],4,15,,beegfs-ssd,60,stage_in-run_idfeature,,"cloudid_20160802_061500.nc,pr_rlut_mean_sam_2016080206.nc,cloudid_20160802_041500.nc,pr_rlut_mean_sam_2016080204.nc,cloudid_20160801_011500.nc,cloudid_20160801_131500.nc,pr_rlut_mean_sam_2016080101.nc,pr_rlut_mean_sam_2016080113.nc,cloudid_20160802_111500.nc,pr_rlut_mean_sam_2016080211.nc,cloudid_20160801_231500.nc,pr_rlut_mean_sam_2016080123.nc,cloudid_20160801_071500.nc,pr_rlut_mean_sam_2016080107.nc,cloudid_20160802_211500.nc,pr_rlut_mean_sam_2016080221.nc,cloudid_20160801_201500.nc,pr_rlut_mean_sam_2016080120.nc,cloudid_20160802_171500.nc,pr_rlut_mean_sam_2016080217.nc,cloudid_20160801_031500.nc,pr_rlut_mean_sam_2016080103.nc,cloudid_20160801_081500.nc,pr_rlut_mean_sam_2016080108.nc,cloudid_20160801_021500.nc,pr_rlut_mean_sam_2016080102.nc,cloudid_20160802_141500.nc,pr_rlut_mean_sam_2016080214.nc,cloudid_20160802_101500.nc,pr_rlut_mean_sam_2016080210.nc,cloudid_20160802_091500.nc,pr_rlut_mean_sam_2016080209.nc,cloudid_20160802_181500.nc,pr_rlut_mean_sam_2016080218.nc,cloudid_20160801_061500.nc,pr_rlut_mean_sam_2016080106.nc,cloudid_20160802_011500.nc,pr_rlut_mean_sam_2016080201.nc,cloudid_20160802_051500.nc,pr_rlut_mean_sam_2016080205.nc,cloudid_20160802_151500.nc,pr_rlut_mean_sam_2016080215.nc,cloudid_20160801_181500.nc,pr_rlut_mean_sam_2016080118.nc,cloudid_20160802_201500.nc,pr_rlut_mean_sam_2016080220.nc,cloudid_20160802_081500.nc,pr_rlut_mean_sam_2016080208.nc,cloudid_20160801_091500.nc,pr_rlut_mean_sam_2016080109.nc,cloudid_20160802_021500.nc,pr_rlut_mean_sam_2016080202.nc,cloudid_20160802_131500.nc,pr_rlut_mean_sam_2016080213.nc,cloudid_20160801_101500.nc,pr_rlut_mean_sam_2016080110.nc,cloudid_20160801_161500.nc,pr_rlut_mean_sam_2016080116.nc,cloudid_20160801_111500.nc,pr_rlut_mean_sam_2016080111.nc",0.5,,1879.7322225570679
cp,0,4096.0,,36,36,,[4],4,9,,beegfs-ssd,36,stage_in-run_idfeature,,"cloudid_20160801_141500.nc,pr_rlut_mean_sam_2016080114.nc,cloudid_20160801_003000.nc,cloudid_20160802_071500.nc,pr_rlut_mean_sam_2016080100.nc,pr_rlut_mean_sam_2016080207.nc,cloudid_20160801_151500.nc,pr_rlut_mean_sam_2016080115.nc,cloudid_20160802_121500.nc,pr_rlut_mean_sam_2016080212.nc,cloudid_20160801_041500.nc,pr_rlut_mean_sam_2016080104.nc,cloudid_20160802_001500.nc,pr_rlut_mean_sam_2016080200.nc,cloudid_20160802_221500.nc,pr_rlut_mean_sam_2016080222.nc,cloudid_20160801_171500.nc,pr_rlut_mean_sam_2016080117.nc,cloudid_20160801_121500.nc,pr_rlut_mean_sam_2016080112.nc,cloudid_20160801_221500.nc,pr_rlut_mean_sam_2016080122.nc,cloudid_20160801_051500.nc,pr_rlut_mean_sam_2016080105.nc,cloudid_20160801_211500.nc,pr_rlut_mean_sam_2016080121.nc,cloudid_20160802_191500.nc,pr_rlut_mean_sam_2016080219.nc,cloudid_20160801_191500.nc,pr_rlut_mean_sam_2016080119.nc,cloudid_20160802_231500.nc,pr_rlut_mean_sam_2016080223.nc,cloudid_20160802_161500.nc,pr_rlut_mean_sam_2016080216.nc,cloudid_20160802_031500.nc,pr_rlut_mean_sam_2016080203.nc",0.5,,1169.1984386444092
cp,0,4096.0,,60,60,,[4],4,15,,beegfs-tmpfs,60,stage_in-run_idfeature,,"cloudid_20160802_061500.nc,pr_rlut_mean_sam_2016080206.nc,cloudid_20160802_041500.nc,pr_rlut_mean_sam_2016080204.nc,cloudid_20160801_011500.nc,cloudid_20160801_131500.nc,pr_rlut_mean_sam_2016080101.nc,pr_rlut_mean_sam_2016080113.nc,cloudid_20160802_111500.nc,pr_rlut_mean_sam_2016080211.nc,cloudid_20160801_231500.nc,pr_rlut_mean_sam_2016080123.nc,cloudid_20160801_071500.nc,pr_rlut_mean_sam_2016080107.nc,cloudid_20160802_211500.nc,pr_rlut_mean_sam_2016080221.nc,cloudid_20160801_201500.nc,pr_rlut_mean_sam_2016080120.nc,cloudid_20160802_171500.nc,pr_rlut_mean_sam_2016080217.nc,cloudid_20160801_031500.nc,pr_rlut_mean_sam_2016080103.nc,cloudid_20160801_081500.nc,pr_rlut_mean_sam_2016080108.nc,cloudid_20160801_021500.nc,pr_rlut_mean_sam_2016080102.nc,cloudid_20160802_141500.nc,pr_rlut_mean_sam_2016080214.nc,cloudid_20160802_101500.nc,pr_rlut_mean_sam_2016080210.nc,cloudid_20160802_091500.nc,pr_rlut_mean_sam_2016080209.nc,cloudid_20160802_181500.nc,pr_rlut_mean_sam_2016080218.nc,cloudid_20160801_061500.nc,pr_rlut_mean_sam_2016080106.nc,cloudid_20160802_011500.nc,pr_rlut_mean_sam_2016080201.nc,cloudid_20160802_051500.nc,pr_rlut_mean_sam_2016080205.nc,cloudid_20160802_151500.nc,pr_rlut_mean_sam_2016080215.nc,cloudid_20160801_181500.nc,pr_rlut_mean_sam_2016080118.nc,cloudid_20160802_201500.nc,pr_rlut_mean_sam_2016080220.nc,cloudid_20160802_081500.nc,pr_rlut_mean_sam_2016080208.nc,cloudid_20160801_091500.nc,pr_rlut_mean_sam_2016080109.nc,cloudid_20160802_021500.nc,pr_rlut_mean_sam_2016080202.nc,cloudid_20160802_131500.nc,pr_rlut_mean_sam_2016080213.nc,cloudid_20160801_101500.nc,pr_rlut_mean_sam_2016080110.nc,cloudid_20160801_161500.nc,pr_rlut_mean_sam_2016080116.nc,cloudid_20160801_111500.nc,pr_rlut_mean_sam_2016080111.nc",0.5,,1879.7322225570679
cp,0,4096.0,,36,36,,[4],4,9,,beegfs-tmpfs,36,stage_in-run_idfeature,,"cloudid_20160801_141500.nc,pr_rlut_mean_sam_2016080114.nc,cloudid_20160801_003000.nc,cloudid_20160802_071500.nc,pr_rlut_mean_sam_2016080100.nc,pr_rlut_mean_sam_2016080207.nc,cloudid_20160801_151500.nc,pr_rlut_mean_sam_2016080115.nc,cloudid_20160802_121500.nc,pr_rlut_mean_sam_2016080212.nc,cloudid_20160801_041500.nc,pr_rlut_mean_sam_2016080104.nc,cloudid_20160802_001500.nc,pr_rlut_mean_sam_2016080200.nc,cloudid_20160802_221500.nc,pr_rlut_mean_sam_2016080222.nc,cloudid_20160801_171500.nc,pr_rlut_mean_sam_2016080117.nc,cloudid_20160801_121500.nc,pr_rlut_mean_sam_2016080112.nc,cloudid_20160801_221500.nc,pr_rlut_mean_sam_2016080122.nc,cloudid_20160801_051500.nc,pr_rlut_mean_sam_2016080105.nc,cloudid_20160801_211500.nc,pr_rlut_mean_sam_2016080121.nc,cloudid_20160802_191500.nc,pr_rlut_mean_sam_2016080219.nc,cloudid_20160801_191500.nc,pr_rlut_mean_sam_2016080119.nc,cloudid_20160802_231500.nc,pr_rlut_mean_sam_2016080223.nc,cloudid_20160802_161500.nc,pr_rlut_mean_sam_2016080216.nc,cloudid_20160802_031500.nc,pr_rlut_mean_sam_2016080203.nc",0.5,,1169.1984386444092
scp,0,4096.0,,60,60,,[4],4,15,,ssd-ssd,60,stage_in-run_idfeature,,"cloudid_20160802_061500.nc,pr_rlut_mean_sam_2016080206.nc,cloudid_20160802_041500.nc,pr_rlut_mean_sam_2016080204.nc,cloudid_20160801_011500.nc,cloudid_20160801_131500.nc,pr_rlut_mean_sam_2016080101.nc,pr_rlut_mean_sam_2016080113.nc,cloudid_20160802_111500.nc,pr_rlut_mean_sam_2016080211.nc,cloudid_20160801_231500.nc,pr_rlut_mean_sam_2016080123.nc,cloudid_20160801_071500.nc,pr_rlut_mean_sam_2016080107.nc,cloudid_20160802_211500.nc,pr_rlut_mean_sam_2016080221.nc,cloudid_20160801_201500.nc,pr_rlut_mean_sam_2016080120.nc,cloudid_20160802_171500.nc,pr_rlut_mean_sam_2016080217.nc,cloudid_20160801_031500.nc,pr_rlut_mean_sam_2016080103.nc,cloudid_20160801_081500.nc,pr_rlut_mean_sam_2016080108.nc,cloudid_20160801_021500.nc,pr_rlut_mean_sam_2016080102.nc,cloudid_20160802_141500.nc,pr_rlut_mean_sam_2016080214.nc,cloudid_20160802_101500.nc,pr_rlut_mean_sam_2016080210.nc,cloudid_20160802_091500.nc,pr_rlut_mean_sam_2016080209.nc,cloudid_20160802_181500.nc,pr_rlut_mean_sam_2016080218.nc,cloudid_20160801_061500.nc,pr_rlut_mean_sam_2016080106.nc,cloudid_20160802_011500.nc,pr_rlut_mean_sam_2016080201.nc,cloudid_20160802_051500.nc,pr_rlut_mean_sam_2016080205.nc,cloudid_20160802_151500.nc,pr_rlut_mean_sam_2016080215.nc,cloudid_20160801_181500.nc,pr_rlut_mean_sam_2016080118.nc,cloudid_20160802_201500.nc,pr_rlut_mean_sam_2016080220.nc,cloudid_20160802_081500.nc,pr_rlut_mean_sam_2016080208.nc,cloudid_20160801_091500.nc,pr_rlut_mean_sam_2016080109.nc,cloudid_20160802_021500.nc,pr_rlut_mean_sam_2016080202.nc,cloudid_20160802_131500.nc,pr_rlut_mean_sam_2016080213.nc,cloudid_20160801_101500.nc,pr_rlut_mean_sam_2016080110.nc,cloudid_20160801_161500.nc,pr_rlut_mean_sam_2016080116.nc,cloudid_20160801_111500.nc,pr_rlut_mean_sam_2016080111.nc",0.5,,1879.7322225570679
scp,0,4096.0,,36,36,,[4],4,9,,ssd-ssd,36,stage_in-run_idfeature,,"cloudid_20160801_141500.nc,pr_rlut_mean_sam_2016080114.nc,cloudid_20160801_003000.nc,cloudid_20160802_071500.nc,pr_rlut_mean_sam_2016080100.nc,pr_rlut_mean_sam_2016080207.nc,cloudid_20160801_151500.nc,pr_rlut_mean_sam_2016080115.nc,cloudid_20160802_121500.nc,pr_rlut_mean_sam_2016080212.nc,cloudid_20160801_041500.nc,pr_rlut_mean_sam_2016080104.nc,cloudid_20160802_001500.nc,pr_rlut_mean_sam_2016080200.nc,cloudid_20160802_221500.nc,pr_rlut_mean_sam_2016080222.nc,cloudid_20160801_171500.nc,pr_rlut_mean_sam_2016080117.nc,cloudid_20160801_121500.nc,pr_rlut_mean_sam_2016080112.nc,cloudid_20160801_221500.nc,pr_rlut_mean_sam_2016080122.nc,cloudid_20160801_051500.nc,pr_rlut_mean_sam_2016080105.nc,cloudid_20160801_211500.nc,pr_rlut_mean_sam_2016080121.nc,cloudid_20160802_191500.nc,pr_rlut_mean_sam_2016080219.nc,cloudid_20160801_191500.nc,pr_rlut_mean_sam_2016080119.nc,cloudid_20160802_231500.nc,pr_rlut_mean_sam_2016080223.nc,cloudid_20160802_161500.nc,pr_rlut_mean_sam_2016080216.nc,cloudid_20160802_031500.nc,pr_rlut_mean_sam_2016080203.nc",0.5,,1169.1984386444092
scp,0,4096.0,,60,60,,[4],4,15,,tmpfs-tmpfs,60,stage_in-run_idfeature,,"cloudid_20160802_061500.nc,pr_rlut_mean_sam_2016080206.nc,cloudid_20160802_041500.nc,pr_rlut_mean_sam_2016080204.nc,cloudid_20160801_011500.nc,cloudid_20160801_131500.nc,pr_rlut_mean_sam_2016080101.nc,pr_rlut_mean_sam_2016080113.nc,cloudid_20160802_111500.nc,pr_rlut_mean_sam_2016080211.nc,cloudid_20160801_231500.nc,pr_rlut_mean_sam_2016080123.nc,cloudid_20160801_071500.nc,pr_rlut_mean_sam_2016080107.nc,cloudid_20160802_211500.nc,pr_rlut_mean_sam_2016080221.nc,cloudid_20160801_201500.nc,pr_rlut_mean_sam_2016080120.nc,cloudid_20160802_171500.nc,pr_rlut_mean_sam_2016080217.nc,cloudid_20160801_031500.nc,pr_rlut_mean_sam_2016080103.nc,cloudid_20160801_081500.nc,pr_rlut_mean_sam_2016080108.nc,cloudid_20160801_021500.nc,pr_rlut_mean_sam_2016080102.nc,cloudid_20160802_141500.nc,pr_rlut_mean_sam_2016080214.nc,cloudid_20160802_101500.nc,pr_rlut_mean_sam_2016080210.nc,cloudid_20160802_091500.nc,pr_rlut_mean_sam_2016080209.nc,cloudid_20160802_181500.nc,pr_rlut_mean_sam_2016080218.nc,cloudid_20160801_061500.nc,pr_rlut_mean_sam_2016080106.nc,cloudid_20160802_011500.nc,pr_rlut_mean_sam_2016080201.nc,cloudid_20160802_051500.nc,pr_rlut_mean_sam_2016080205.nc,cloudid_20160802_151500.nc,pr_rlut_mean_sam_2016080215.nc,cloudid_20160801_181500.nc,pr_rlut_mean_sam_2016080118.nc,cloudid_20160802_201500.nc,pr_rlut_mean_sam_2016080220.nc,cloudid_20160802_081500.nc,pr_rlut_mean_sam_2016080208.nc,cloudid_20160801_091500.nc,pr_rlut_mean_sam_2016080109.nc,cloudid_20160802_021500.nc,pr_rlut_mean_sam_2016080202.nc,cloudid_20160802_131500.nc,pr_rlut_mean_sam_2016080213.nc,cloudid_20160801_101500.nc,pr_rlut_mean_sam_2016080110.nc,cloudid_20160801_161500.nc,pr_rlut_mean_sam_2016080116.nc,cloudid_20160801_111500.nc,pr_rlut_mean_sam_2016080111.nc",0.5,,1879.7322225570679
scp,0,4096.0,,36,36,,[4],4,9,,tmpfs-tmpfs,36,stage_in-run_idfeature,,"cloudid_20160801_141500.nc,pr_rlut_mean_sam_2016080114.nc,cloudid_20160801_003000.nc,cloudid_20160802_071500.nc,pr_rlut_mean_sam_2016080100.nc,pr_rlut_mean_sam_2016080207.nc,cloudid_20160801_151500.nc,pr_rlut_mean_sam_2016080115.nc,cloudid_20160802_121500.nc,pr_rlut_mean_sam_2016080212.nc,cloudid_20160801_041500.nc,pr_rlut_mean_sam_2016080104.nc,cloudid_20160802_001500.nc,pr_rlut_mean_sam_2016080200.nc,cloudid_20160802_221500.nc,pr_rlut_mean_sam_2016080222.nc,cloudid_20160801_171500.nc,pr_rlut_mean_sam_2016080117.nc,cloudid_20160801_121500.nc,pr_rlut_mean_sam_2016080112.nc,cloudid_20160801_221500.nc,pr_rlut_mean_sam_2016080122.nc,cloudid_20160801_051500.nc,pr_rlut_mean_sam_2016080105.nc,cloudid_20160801_211500.nc,pr_rlut_mean_sam_2016080121.nc,cloudid_20160802_191500.nc,pr_rlut_mean_sam_2016080219.nc,cloudid_20160801_191500.nc,pr_rlut_mean_sam_2016080119.nc,cloudid_20160802_231500.nc,pr_rlut_mean_sam_2016080223.nc,cloudid_20160802_161500.nc,pr_rlut_mean_sam_2016080216.nc,cloudid_20160802_031500.nc,pr_rlut_mean_sam_2016080203.nc",0.5,,1169.1984386444092
0,1,5441.714993332063,27.24033546447754,96,96,0.097976748,[4],4,24,278.0285733149414,5,5249,run_idfeature,101188-dc002,cloudid_20160802_061500.nc,1.0,,762.2326653003693
1,1,6632.008785332315,33.11652946472168,96,96,0.18862309,[4],4,24,175.5698597914056,5,5236,run_idfeature,101188-dc002,pr_rlut_mean_sam_2016080206.nc,1.0,initial_data,762.2326653003693
