run_idfeature_stor,run_tracksingle_stor,run_gettracks_stor,run_trackstats_stor,run_identifymcs_stor,run_matchpf_stor,run_robustmcs_stor,run_mapfeature_stor,run_speed_stor,nodes,total,o1,o2,o3,o4,o5,o6,o7,o8,o9,dur_run_idfeature,dur_run_tracksingle,dur_run_gettracks,dur_run_trackstats,dur_run_identifymcs,dur_run_matchpf,dur_run_robustmcs,dur_run_mapfeature,dur_run_speed
tmpfs,beegfs,beegfs,tmpfs,beegfs,ssd,beegfs,beegfs,tmpfs,2,0.050391541034714105,0.0253937897817734,0.0,0.0,0.0,0.0,0.0249977512529407,0.0,0.0,0.0,0.0253937897817734,,,,,0.0249977512529407,,,
tmpfs,beegfs,beegfs,tmpfs,beegfs,ssd,beegfs,beegfs,ssd,2,0.050391541034714105,0.0253937897817734,0.0,0.0,0.0,0.0,0.0249977512529407,0.0,0.0,0.0,0.0253937897817734,,,,,0.0249977512529407,,,
tmpfs,beegfs,tmpfs,tmpfs,beegfs,ssd,beegfs,beegfs,tmpfs,2,0.050391541034714105,0.0253937897817734,0.0,0.0,0.0,0.0,0.0249977512529407,0.0,0.0,0.0,0.0253937897817734,,,,,0.0249977512529407,,,
tmpfs,beegfs,tmpfs,tmpfs,beegfs,ssd,beegfs,beegfs,ssd,2,0.050391541034714105,0.0253937897817734,0.0,0.0,0.0,0.0,0.0249977512529407,0.0,0.0,0.0,0.0253937897817734,,,,,0.0249977512529407,,,
tmpfs,beegfs,beegfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,tmpfs,2,0.0554574077777504,0.0253937897817734,0.0,0.0,0.0,0.0,0.030063617995977,0.0,0.0,0.0,0.0253937897817734,,,,,0.030063617995977,,,
tmpfs,beegfs,beegfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,ssd,2,0.0554574077777504,0.0253937897817734,0.0,0.0,0.0,0.0,0.030063617995977,0.0,0.0,0.0,0.0253937897817734,,,,,0.030063617995977,,,
tmpfs,beegfs,tmpfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,tmpfs,2,0.0554574077777504,0.0253937897817734,0.0,0.0,0.0,0.0,0.030063617995977,0.0,0.0,0.0,0.0253937897817734,,,,,0.030063617995977,,,
tmpfs,beegfs,tmpfs,tmpfs,beegfs,tmpfs,beegfs,beegfs,ssd,2,0.0554574077777504,0.0253937897817734,0.0,0.0,0.0,0.0,0.030063617995977,0.0,0.0,0.0,0.0253937897817734,,,,,0.030063617995977,,,
ssd,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,tmpfs,2,0.056087026483784,0.0310892752308433,0.0,0.0,0.0,0.0,0.0249977512529407,0.0,0.0,0.0,0.0310892752308433,,,,,0.0249977512529407,,,
ssd,beegfs,beegfs,ssd,beegfs,ssd,beegfs,beegfs,ssd,2,0.056087026483784,0.0310892752308433,0.0,0.0,0.0,0.0,0.0249977512529407,0.0,0.0,0.0,0.0310892752308433,,,,,0.0249977512529407,,,
ssd,beegfs,ssd,ssd,beegfs,ssd,beegfs,beegfs,tmpfs,2,0.056087026483784,0.0310892752308433,0.0,0.0,0.0,0.0,0.0249977512529407,0.0,0.0,0.0,0.0310892752308433,,,,,0.0249977512529407,,,
ssd,beegfs,ssd,ssd,beegfs,ssd,beegfs,beegfs,ssd,2,0.056087026483784,0.0310892752308433,0.0,0.0,0.0,0.0,0.0249977512529407,0.0,0.0,0.0,0.0310892752308433,,,,,0.0249977512529407,,,
ssd,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,tmpfs,2,0.0611528932268203,0.0310892752308433,0.0,0.0,0.0,0.0,0.030063617995977,0.0,0.0,0.0,0.0310892752308433,,,,,0.030063617995977,,,
ssd,beegfs,beegfs,ssd,beegfs,tmpfs,beegfs,beegfs,ssd,2,0.0611528932268203,0.0310892752308433,0.0,0.0,0.0,0.0,0.030063617995977,0.0,0.0,0.0,0.0310892752308433,,,,,0.030063617995977,,,
ssd,beegfs,ssd,ssd,beegfs,tmpfs,beegfs,beegfs,tmpfs,2,0.0611528932268203,0.0310892752308433,0.0,0.0,0.0,0.0,0.030063617995977,0.0,0.0,0.0,0.0310892752308433,,,,,0.030063617995977,,,
ssd,beegfs,ssd,ssd,beegfs,tmpfs,beegfs,beegfs,ssd,2,0.0611528932268203,0.0310892752308433,0.0,0.0,0.0,0.0,0.030063617995977,0.0,0.0,0.0,0.0310892752308433,,,,,0.030063617995977,,,
tmpfs,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,beegfs,tmpfs,2,0.0652663371878606,0.0253937897817734,0.0,0.0,0.0,0.0,0.0165801862100622,0.023292361196025,0.0,0.0,0.0253937897817734,,,,,0.0165801862100622,0.023292361196025,,
tmpfs,beegfs,beegfs,tmpfs,beegfs,beegfs,beegfs,beegfs,ssd,2,0.0652663371878606,0.0253937897817734,0.0,0.0,0.0,0.0,0.0165801862100622,0.023292361196025,0.0,0.0,0.0253937897817734,,,,,0.0165801862100622,0.023292361196025,,
