region,nodes,count,mean_total,std_total,delta_from_prev,rel_delta,efficiency,is_nstar
0,5,9,108.12821405117494,9.451167085035983,,,1.0,False
0,10,9,99.76842446081461,9.539381569356655,-8.359789590360322,0.08379193753474318,0.5418959687673716,False
1,2,9,132.27506817786966,9.385489930029953,,,1.0,False
2,10,18,172.63963365073857,15.98540614876637,,,1.0,False
3,10,8,180.67723049537267,13.058294483271633,,,1.0,False
4,5,3,189.44793941400985,52.752281597424194,,,1.0,False
4,10,3,174.33311898014256,43.93767462541226,-15.114820433867294,0.08670079742902409,0.5433503987145121,False
5,5,18,199.00441033171785,10.76145762322675,,,1.0,False
6,5,8,225.25497826710205,12.973288000757153,,,1.0,False
7,5,2,250.2590051535753,2.336500469546552,,,1.0,False
7,10,2,211.00071575907236,2.336500469546552,-39.258289394502924,0.18605761242691396,0.593028806213457,False
8,2,4,265.87203936017465,90.03190954964211,,,1.0,False
9,5,3,274.96879176817595,52.75228159742423,,,1.0,False
9,10,3,259.4415004517568,43.93767462541224,-15.527291316419166,0.05984891117798045,0.5299244555889903,False
10,2,9,277.0095061863763,9.38548993002997,,,1.0,False
11,5,8,292.8236586194855,13.590839151260353,,,1.0,False
11,10,8,284.4611142887095,13.643843574054957,-8.362544330776018,0.029397847054373063,0.5146989235271865,True
12,5,4,315.45123601964775,3.179969432379617,,,1.0,False
12,10,4,312.3287961633143,3.425535856085667,-3.1224398563334717,0.009997284575389495,0.5049986422876948,True
13,5,2,315.5877888733043,3.866787413427888,,,1.0,False
13,10,2,312.4422140379173,4.158448371522358,-3.145574835386981,0.010067701142987166,0.5050338505714936,True
14,5,2,335.77985750774144,2.336500469546532,,,1.0,False
14,10,2,296.1090972306866,2.3365004695465923,-39.67076027705485,0.13397345994455878,0.5669867299722794,False
15,5,2,317.8369692204536,4.623108403266232,,,1.0,False
15,10,2,314.7938832669042,4.526362402437711,-3.0430859535494506,0.009666915767131697,0.5048334578835658,True
16,2,4,322.25577538682086,14.553381836941293,,,1.0,False
17,2,4,337.63545280022026,3.4692630897396017,,,1.0,False
18,2,4,371.122530365085,11.918286872415056,,,1.0,False
19,5,8,406.3274323001907,6.5517443220508405,,,1.0,False
19,10,8,385.2000053532382,13.907816116155947,-21.127426946952482,0.054847940429227394,0.5274239702146137,False
20,5,4,406.4639851538472,7.066498681431521,,,1.0,False
20,10,4,385.3134232278413,15.015305745983234,-21.150561926005878,0.05489183778967194,0.5274459188948359,False
21,5,2,403.3578215746197,4.623108403266232,,,1.0,False
21,10,2,399.9022647385184,4.526362402437711,-3.455556836101323,0.008641003417074385,0.5043205017085371,True
22,2,4,410.6064773686813,90.03190954964207,,,1.0,False
23,5,4,436.8464326129085,5.077101506194383,,,1.0,False
23,10,4,397.57719906886007,5.331228913788135,-39.269233544048404,0.0987713421092013,0.5493856710546007,False
24,5,2,436.98298546656497,6.20328788297446,,,1.0,False
24,10,2,397.69061694346317,6.494948841068889,-39.2923685231018,0.09880134669782192,0.549400673348911,False
25,2,3,424.40482139527643,97.69884023875736,,,1.0,False
26,2,4,482.3698908087269,3.4692630897396004,,,1.0,False
27,2,3,496.6760290811035,76.6993884727332,,,1.0,False
28,5,4,504.42439667978687,6.939359257384961,,,1.0,False
28,10,4,501.3703665766919,7.118318712007494,-3.0540301030949877,0.006091365399091311,0.5030456826995456,True
29,5,2,504.56094953344336,8.48989581669416,,,1.0,False
29,10,2,501.4837844512949,8.684810773960068,-3.07716508214844,0.006136120803019305,0.5030680604015096,True
30,2,4,556.2752299983416,27.0704262783472,,,1.0,False
31,2,17,1436.875313852443,15.223539610430254,,,1.0,False
32,2,3,1462.9515987467148,14.553249770997704,,,1.0,False
33,2,3,1547.9541881276436,14.553249770997379,,,1.0,False
34,2,8,1644.9564793434233,14.02373448630796,,,1.0,False
35,2,4,1645.1072398636957,15.14688651015292,,,1.0,False
