index_in_subplot,nodes,configuration,total,region
1,2,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:beegfs,108.18254971398878,22
2,2,frequency:ssd | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:ssd | sifting:beegfs,131.52666102455464,22
3,2,frequency:ssd | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:beegfs,132.11909399198902,22
4,2,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:ssd | sifting:beegfs,132.47750272194267,22
5,2,frequency:tmpfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:beegfs,136.66920915823508,22
6,2,frequency:tmpfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:ssd | sifting:beegfs,137.0846826362067,22
7,2,frequency:ssd | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:beegfs,137.2253097818891,22
8,2,frequency:tmpfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:beegfs,137.4096105246215,22
9,2,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:beegfs,137.78099404739928,22
10,2,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:tmpfs,151.45657070939228,12
11,2,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:ssd,236.45916009032103,12
12,2,frequency:beegfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:beegfs | sifting:beegfs,252.91698772249543,21
13,2,frequency:ssd | individuals_merge:beegfs | individuals:ssd | mutation_overlap:ssd | sifting:beegfs,276.2610990330613,21
14,2,frequency:ssd | individuals_merge:beegfs | individuals:ssd | mutation_overlap:beegfs | sifting:beegfs,276.85353200049565,21
15,2,frequency:beegfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:ssd | sifting:beegfs,277.2119407304493,21
16,2,frequency:tmpfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:tmpfs | sifting:beegfs,281.40364716674173,21
17,2,frequency:tmpfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:ssd | sifting:beegfs,281.8191206447134,21
18,2,frequency:ssd | individuals_merge:beegfs | individuals:ssd | mutation_overlap:tmpfs | sifting:beegfs,281.9597477903958,21
19,2,frequency:tmpfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:beegfs | sifting:beegfs,282.14404853312817,21
20,2,frequency:beegfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:tmpfs | sifting:beegfs,282.51543205590593,21
21,2,frequency:beegfs | individuals_merge:beegfs | individuals:ssd | mutation_overlap:beegfs | sifting:tmpfs,296.19100871789897,15
22,2,frequency:beegfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:beegfs,300.4367119302801,19
23,2,frequency:tmpfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:beegfs,328.91140112048424,19
24,2,frequency:tmpfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:beegfs,329.6518024868707,19
25,2,frequency:beegfs | individuals_merge:tmpfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:beegfs,330.0231860096484,19
26,2,frequency:ssd | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:ssd | sifting:ssd,334.2004172649979,11
27,2,frequency:ssd | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:beegfs | sifting:ssd,334.7928502324323,12
28,2,frequency:beegfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:ssd | sifting:ssd,335.15125896238595,11
29,2,frequency:tmpfs | individuals_merge:beegfs | individuals:tmpfs | mutation_overlap:tmpfs | sifting:tmpfs,340.03917504216645,11
