region,nodes,total,openmm_stor,aggregate_stor,training_stor,inference_stor,regret_vs_global_best
0,1,4.15590241852839,tmpfs,tmpfs,tmpfs,tmpfs,0.0
0,4,4.172103367673279,tmpfs,tmpfs,tmpfs,tmpfs,0.016200949144889343
0,2,4.1772518339189215,tmpfs,tmpfs,tmpfs,tmpfs,0.02134941539053159
0,4,4.275566834911942,beegfs,beegfs,tmpfs,tmpfs,0.11966441638355185
0,4,4.275566834911942,beegfs,tmpfs,tmpfs,tmpfs,0.11966441638355185
0,4,4.341367678850848,beegfs,beegfs,tmpfs,ssd,0.18546526032245847
0,4,4.341367678850848,beegfs,tmpfs,tmpfs,ssd,0.18546526032245847
0,2,4.362386392836811,beegfs,beegfs,tmpfs,tmpfs,0.20648397430842103
0,2,4.362386392836811,beegfs,tmpfs,tmpfs,tmpfs,0.20648397430842103
0,1,4.418245529758942,beegfs,beegfs,tmpfs,tmpfs,0.2623431112305523
0,1,4.418245529758942,beegfs,tmpfs,tmpfs,tmpfs,0.2623431112305523
0,2,4.428187236775718,beegfs,beegfs,tmpfs,ssd,0.27228481824732764
0,2,4.428187236775718,beegfs,tmpfs,tmpfs,ssd,0.27228481824732764
0,1,4.484046373697849,beegfs,beegfs,tmpfs,ssd,0.32814395516945893
0,1,4.484046373697849,beegfs,tmpfs,tmpfs,ssd,0.32814395516945893
1,1,4.9746890404279265,tmpfs,tmpfs,tmpfs,beegfs,0.8187866218995365
1,4,4.990889989572817,tmpfs,tmpfs,tmpfs,beegfs,0.8349875710444268
1,2,4.996038455818459,tmpfs,tmpfs,tmpfs,beegfs,0.840136037290069
1,4,5.067461095131704,beegfs,beegfs,tmpfs,beegfs,0.9115586766033141
1,4,5.067461095131704,beegfs,tmpfs,tmpfs,beegfs,0.9115586766033141
1,2,5.154280653056574,beegfs,beegfs,tmpfs,beegfs,0.9983782345281842
1,2,5.154280653056574,beegfs,tmpfs,tmpfs,beegfs,0.9983782345281842
1,1,5.210139789978705,beegfs,beegfs,tmpfs,beegfs,1.0542373714503155
1,1,5.210139789978705,beegfs,tmpfs,tmpfs,beegfs,1.0542373714503155
0,1,5.743105236107779,tmpfs,beegfs,tmpfs,tmpfs,1.5872028175793886
0,4,5.759306185252669,tmpfs,beegfs,tmpfs,tmpfs,1.6034037667242789
0,2,5.764454651498311,tmpfs,beegfs,tmpfs,tmpfs,1.6085522329699211
1,1,6.561891858007315,tmpfs,beegfs,tmpfs,beegfs,2.405989439478925
1,4,6.578092807152205,tmpfs,beegfs,tmpfs,beegfs,2.4221903886238154
1,2,6.5832412733978485,tmpfs,beegfs,tmpfs,beegfs,2.4273388548694586
2,4,6.659204514516497,beegfs,beegfs,beegfs,tmpfs,2.503302095988107
2,4,6.712437929556218,beegfs,ssd,beegfs,tmpfs,2.5565355110278283
2,4,6.717657346690403,beegfs,beegfs,beegfs,ssd,2.5617549281620127
2,4,6.730411628392919,beegfs,tmpfs,beegfs,tmpfs,2.5745092098645292
2,2,6.746024072441367,beegfs,beegfs,beegfs,tmpfs,2.590121653912977
2,4,6.770890761730124,beegfs,ssd,beegfs,ssd,2.614988343201734
2,4,6.796212472331825,beegfs,tmpfs,beegfs,ssd,2.640310053803435
2,2,6.799257487481088,beegfs,ssd,beegfs,tmpfs,2.6433550689526983
2,1,6.801883209363498,beegfs,beegfs,beegfs,tmpfs,2.6459807908351083
2,2,6.804476904615273,beegfs,beegfs,beegfs,ssd,2.6485744860868827
2,2,6.817231186317789,beegfs,tmpfs,beegfs,tmpfs,2.6613287677893993
2,1,6.85511662440322,beegfs,ssd,beegfs,tmpfs,2.6992142058748296
2,2,6.857710319654994,beegfs,ssd,beegfs,ssd,2.701807901126604
2,1,6.860336041537404,beegfs,beegfs,beegfs,ssd,2.704433623009014
2,1,6.8730903232399205,beegfs,tmpfs,beegfs,tmpfs,2.7171879047115306
2,2,6.883032030256695,beegfs,tmpfs,beegfs,ssd,2.727129611728305
2,1,6.913569456577125,beegfs,ssd,beegfs,ssd,2.7576670380487354
2,1,6.938891167178826,beegfs,tmpfs,beegfs,ssd,2.7829887486504363
4,1,7.307790436889249,tmpfs,beegfs,beegfs,beegfs,3.151888018360859
4,4,7.323991386034138,tmpfs,beegfs,beegfs,beegfs,3.1680889675057484
4,2,7.329139852279781,tmpfs,beegfs,beegfs,beegfs,3.1732374337513907
3,4,7.405099212761584,beegfs,beegfs,beegfs,beegfs,3.2491967942331943
3,2,7.491918770686454,beegfs,beegfs,beegfs,beegfs,3.3360163521580644
