region,mean_total,regret_vs_global_best
0,103.94831925599478,28.64479456330112
1,132.27506817786966,56.971543485176
2,172.63963365073857,97.33610895804492
3,180.67723049537267,105.37370580267901
4,181.89052919707623,106.58700450438258
5,199.00441033171785,123.7008856390242
6,225.25497826710205,149.9514535744084
7,230.62986045632383,155.32633576363017
8,265.87203936017465,190.568514667481
9,267.2051461099664,191.90162141727274
10,277.0095061863763,201.70598149368266
11,288.6423864540975,213.33886176140385
12,313.890016091481,238.58649139878736
13,314.0150014556108,238.71147676291713
14,315.944477369214,240.64095267652033
15,316.3154262436789,241.01190155098527
16,322.25577538682086,246.9522506941272
17,337.63545280022026,262.3319281075266
18,371.122530365085,295.81900567239137
19,395.76371882671447,320.4601941340208
20,395.88870419084424,320.5851794981506
21,401.63004315656906,326.3265184638754
22,410.6064773686813,335.3029526759876
23,417.2118158408843,341.90829114819064
24,417.33680120501407,342.0332765123204
25,424.40482139527643,349.1012967025828
26,482.3698908087269,407.06636611603324
27,496.6760290811035,421.3725043884098
28,502.8973816282394,427.5938569355457
29,503.02236699236914,427.7188422996755
30,556.2752299983416,480.97170530564796
31,1436.875313852443,1361.5717891597494
32,1462.9515987467148,1387.6480740540212
33,1547.9541881276436,1472.65066343495
34,1644.9564793434233,1569.6529546507297
35,1645.1072398636957,1569.803715171002
