region,colA,valA,colB,valB,interaction,mean_total_combo,mean_total_overall,mean_total_A,mean_total_B,count
70,frequency_stor,beegfs,mutation_overlap_stor,beegfs,-11.474215231795313,79.58934409671812,103.94831925599479,97.55380987717292,97.4580687073353,2
70,frequency_stor,tmpfs,mutation_overlap_stor,tmpfs,-5.272466487543667,108.65400506636404,103.94831925599479,108.9134127276629,108.96137808223959,2
70,frequency_stor,ssd,mutation_overlap_stor,ssd,-3.511234892671453,103.34369199289165,103.94831925599479,105.37773516314847,105.42551097840942,2
70,frequency_stor,ssd,mutation_overlap_stor,tmpfs,-1.3484532391671564,109.04234075022612,103.94831925599479,105.37773516314847,108.96137808223959,2
70,frequency_stor,tmpfs,mutation_overlap_stor,ssd,-1.3420606124129648,109.04854383766457,103.94831925599479,108.9134127276629,105.42551097840942,2
70,frequency_stor,beegfs,mutation_overlap_stor,ssd,4.853295505084489,103.88429710467204,103.94831925599479,97.55380987717292,105.42551097840942,2
70,frequency_stor,ssd,mutation_overlap_stor,beegfs,4.859688131838638,103.74717274632762,103.94831925599479,105.37773516314847,97.4580687073353,2
70,frequency_stor,tmpfs,mutation_overlap_stor,beegfs,6.614527099956732,109.03768927896014,103.94831925599479,108.9134127276629,97.4580687073353,2
70,frequency_stor,beegfs,mutation_overlap_stor,tmpfs,6.620919726710895,109.18778843012862,103.94831925599479,97.55380987717292,108.96137808223959,2
22,frequency_stor,beegfs,mutation_overlap_stor,beegfs,-11.593149012784949,108.18254971398878,132.27506817786963,126.14701549444358,125.90375141019977,1
22,frequency_stor,tmpfs,mutation_overlap_stor,tmpfs,-5.335394432757539,136.66920915823508,132.27506817786963,137.0545007730211,137.22517099584115,1
22,frequency_stor,ssd,mutation_overlap_stor,ssd,-3.5182411912879843,131.52666102455464,132.27506817786963,133.62368826614426,133.696282127568,1
22,frequency_stor,tmpfs,mutation_overlap_stor,ssd,-1.3910320865127517,137.0846826362067,132.27506817786963,137.0545007730211,133.696282127568,1
22,frequency_stor,ssd,mutation_overlap_stor,tmpfs,-1.3484813022266735,137.2253097818891,132.27506817786963,133.62368826614426,137.22517099584115,1
22,frequency_stor,ssd,mutation_overlap_stor,beegfs,4.866722493514615,132.11909399198902,132.27506817786963,133.62368826614426,125.90375141019977,1
22,frequency_stor,beegfs,mutation_overlap_stor,ssd,4.909273277800722,132.47750272194267,132.27506817786963,126.14701549444358,133.696282127568,1
