region,column,value,mean_total,delta_from_best,count
22,individuals_stor,ssd,136.18290769349943,0.0,1
22,individuals_stor,beegfs,139.98619790093105,3.8032902074316155,3
22,individuals_stor,tmpfs,179.7257719779314,43.54286428443197,1
22,individuals_merge_stor,ssd,138.08455279721522,0.0,2
22,individuals_merge_stor,beegfs,139.98619790093105,1.901645103715822,1
22,individuals_merge_stor,tmpfs,159.8559849394312,21.771432142215986,2
21,individuals_stor,ssd,146.4331328224213,0.0,1
21,individuals_stor,beegfs,187.23832443492128,40.80519161249998,3
21,individuals_stor,tmpfs,190.1190087857206,43.68587596329931,1
21,individuals_merge_stor,ssd,166.8357286286713,0.0,2
21,individuals_merge_stor,beegfs,187.23832443492128,20.40259580624999,1
21,individuals_merge_stor,tmpfs,188.67866661032093,21.84293798164964,2
14,individuals_stor,ssd,351.6625277783047,0.0,2
14,individuals_stor,beegfs,355.4940999544043,3.8315721760995984,5
14,individuals_merge_stor,ssd,353.56417288202056,0.0,4
14,individuals_merge_stor,beegfs,355.5129546001829,1.9487817181623655,3
14,frequency_stor,ssd,354.08734340443965,0.0,3
14,frequency_stor,beegfs,354.30876576207874,0.22142235763908502,3
14,frequency_stor,tmpfs,355.6072278290762,1.5198844246365297,1
19,individuals_stor,ssd,351.67327618644424,0.0,1
19,individuals_stor,beegfs,355.34263747010993,3.669361283665694,4
19,individuals_stor,tmpfs,394.9482826233444,43.275006436900185,1
19,individuals_merge_stor,ssd,353.57492129016003,0.0,2
19,individuals_merge_stor,beegfs,355.34263747010993,1.7677161799499004,2
19,individuals_merge_stor,tmpfs,375.07849558484423,21.5035742946842,2
19,frequency_stor,ssd,354.2088029913986,0.0,3
19,frequency_stor,tmpfs,368.45523323867747,14.246430247278852,3
15,individuals_stor,beegfs,355.28488538490797,0.0,5
15,individuals_stor,tmpfs,394.95021348652756,39.66532810161959,2
15,individuals_merge_stor,beegfs,355.3343827018284,0.0,3
15,individuals_merge_stor,tmpfs,375.0804264480274,19.746043746199007,4
15,frequency_stor,ssd,355.5818692864308,0.0,1
15,frequency_stor,tmpfs,368.3591321943639,12.777262907933107,3
15,frequency_stor,beegfs,368.55519600935753,12.973326722926743,3
