region,size,mean,std,cv,individuals_stor,individuals_merge_stor,sifting_stor,frequency_stor,mutation_overlap_stor,nodes
5,8,0.030228074876423906,0.015464506366836947,0.5115941531195008,"ssd,tmpfs","ssd,tmpfs",beegfs,*,*,10
22,6,0.9999999988385864,1.2722648287988528e-09,1.2722648302764786e-09,beegfs,*,beegfs,beegfs,beegfs,"5,10"
4,8,0.06749622867275602,0.027535541610765175,0.40795674295028483,"ssd,tmpfs","ssd,tmpfs",beegfs,beegfs,*,"2,5"
18,5,0.3932713165662046,0.0005435372399713258,0.0013820922530459322,beegfs,*,beegfs,tmpfs,*,10
21,8,0.4293999211340981,0.0380193972529675,0.08854076440571668,beegfs,*,beegfs,beegfs,"ssd,tmpfs","5,10"
19,5,0.393050916610841,0.00043800240669961956,0.0011143655648392368,beegfs,*,beegfs,ssd,*,10
3,8,0.041772710324304727,0.0020469442588733015,0.049001949908965385,"ssd,tmpfs","ssd,tmpfs",beegfs,"ssd,tmpfs",*,"2,5"
16,5,0.4641798174628745,0.0006202818438487399,0.001336296453471613,beegfs,*,beegfs,tmpfs,*,5
15,5,0.46389118869610374,0.0005662709392701675,0.0012206977693666283,beegfs,*,beegfs,ssd,*,5
11,7,0.9254568293658334,0.06972877467984197,0.0753452483868139,beegfs,*,beegfs,beegfs,*,2
10,5,0.8694377740433217,0.00018231375047871536,0.0002096915454120023,beegfs,*,beegfs,tmpfs,*,2
9,5,0.8692613993756826,0.00018028564190475908,0.0002074009521580541,beegfs,*,beegfs,ssd,*,2
