operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
read,1,5318.074439778822,243.97972965240479,96,96,3.860751528,[8],8,12,63.1948800338349,pfs,48106,run_idfeature,3676-dc155,cloudid_20160801_041500.nc,1,initial_data
read,1,5318.074439778822,243.97972965240479,96,96,3.860751528,[8],8,12,63.1948800338349,pfs,48106,run_idfeature,3676-dc155,cloudid_20160801_051500.nc,1,initial_data
read,1,5318.074439778822,243.97972965240479,96,96,3.860751528,[8],8,12,63.1948800338349,pfs,48106,run_idfeature,3676-dc155,cloudid_20160801_191500.nc,1,initial_data
read,1,5318.074439778822,243.97972965240479,96,96,3.860751528,[8],8,12,63.1948800338349,pfs,48106,run_idfeature,3676-dc155,cloudid_20160802_051500.nc,1,initial_data
read,1,5318.074439778822,243.97972965240479,96,96,3.860751528,[8],8,12,63.1948800338349,pfs,48106,run_idfeature,3676-dc155,cloudid_20160802_061500.nc,1,initial_data
read,1,5318.074439778822,243.97972965240479,96,96,3.860751528,[8],8,12,63.1948800338349,pfs,48106,run_idfeature,3676-dc155,cloudid_20160802_151500.nc,1,initial_data
read,1,5318.074439778822,243.97972965240479,96,96,3.860751528,[8],8,12,63.1948800338349,pfs,48106,run_idfeature,3676-dc155,cloudid_20160802_181500.nc,1,initial_data
read,1,5318.074439778822,243.97972965240479,96,96,3.860751528,[8],8,12,63.1948800338349,pfs,48106,run_idfeature,3676-dc155,cloudid_20160802_191500.nc,1,initial_data
read,1,5318.074439778822,243.97972965240479,96,96,3.860751528,[8],8,12,63.1948800338349,pfs,48106,run_idfeature,3676-dc155,cloudid_20160803_051500.nc,1,initial_data
write,1,5568.847264182612,158.2107162475586,96,96,0.502450024,[8],8,12,314.87851266887105,pfs,29790,run_idfeature,3676-dc155,cloudid_20160803_081500.nc,1,
read,1,5318.074439778822,243.97972965240479,96,96,3.860751528,[8],8,12,63.1948800338349,pfs,48106,run_idfeature,3676-dc155,cloudid_20160803_171500.nc,1,initial_data
read,1,5318.074439778822,243.97972965240479,96,96,3.860751528,[8],8,12,63.1948800338349,pfs,48106,run_idfeature,3676-dc155,cloudid_20160804_061500.nc,1,initial_data
write,1,5568.847264182612,158.2107162475586,96,96,0.502450024,[8],8,12,314.87851266887105,pfs,29790,run_idfeature,3676-dc155,cloudid_20160804_141500.nc,1,
read,1,5318.074439778822,243.97972965240479,96,96,3.860751528,[8],8,12,63.1948800338349,pfs,48106,run_idfeature,3676-dc155,cloudid_20160804_191500.nc,1,initial_data
