operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
write,1,5441.714993332063,27.24033546447754,96,96,0.097976748,"[2, 4, 8]",2,48,278.0285733149414,pfs,5249,run_idfeature,101188-dc002,cloudid_20160802_061500.nc,1,
write,1,5441.714993332063,27.24033546447754,96,96,0.097976748,"[2, 4, 8]",4,24,278.0285733149414,pfs,5249,run_idfeature,101188-dc002,cloudid_20160802_061500.nc,1,
write,1,5441.714993332063,27.24033546447754,96,96,0.097976748,"[2, 4, 8]",8,12,278.0285733149414,pfs,5249,run_idfeature,101188-dc002,cloudid_20160802_061500.nc,1,
read,1,6632.008785332315,33.11652946472168,96,96,0.18862309,"[2, 4, 8]",2,48,175.5698597914056,pfs,5236,run_idfeature,101188-dc002,pr_rlut_mean_sam_2016080206.nc,1,initial_data
read,1,6632.008785332315,33.11652946472168,96,96,0.18862309,"[2, 4, 8]",4,24,175.5698597914056,pfs,5236,run_idfeature,101188-dc002,pr_rlut_mean_sam_2016080206.nc,1,initial_data
read,1,6632.008785332315,33.11652946472168,96,96,0.18862309,"[2, 4, 8]",8,12,175.5698597914056,pfs,5236,run_idfeature,101188-dc002,pr_rlut_mean_sam_2016080206.nc,1,initial_data
write,1,5410.66355496285,27.0848970413208,96,96,0.115697909,"[2, 4, 8]",2,48,234.10014299671397,pfs,5249,run_idfeature,101189-dc002,cloudid_20160802_041500.nc,1,
write,1,5410.66355496285,27.0848970413208,96,96,0.115697909,"[2, 4, 8]",4,24,234.10014299671397,pfs,5249,run_idfeature,101189-dc002,cloudid_20160802_041500.nc,1,
write,1,5410.66355496285,27.0848970413208,96,96,0.115697909,"[2, 4, 8]",8,12,234.10014299671397,pfs,5249,run_idfeature,101189-dc002,cloudid_20160802_041500.nc,1,
read,1,6632.008785332315,33.11652946472168,96,96,0.214328429,"[2, 4, 8]",2,48,154.5130042674912,pfs,5236,run_idfeature,101189-dc002,pr_rlut_mean_sam_2016080204.nc,1,initial_data
read,1,6632.008785332315,33.11652946472168,96,96,0.214328429,"[2, 4, 8]",4,24,154.5130042674912,pfs,5236,run_idfeature,101189-dc002,pr_rlut_mean_sam_2016080204.nc,1,initial_data
read,1,6632.008785332315,33.11652946472168,96,96,0.214328429,"[2, 4, 8]",8,12,154.5130042674912,pfs,5236,run_idfeature,101189-dc002,pr_rlut_mean_sam_2016080204.nc,1,initial_data
write,1,4276.380358163459,42.813721656799316,96,96,0.200276521,"[2, 4, 8]",2,48,213.77304460366233,pfs,10498,run_idfeature,101190-dc002,cloudid_20160801_011500.nc,1,
write,1,4276.380358163459,42.813721656799316,96,96,0.200276521,"[2, 4, 8]",4,24,213.77304460366233,pfs,10498,run_idfeature,101190-dc002,cloudid_20160801_011500.nc,1,
write,1,4276.380358163459,42.813721656799316,96,96,0.200276521,"[2, 4, 8]",8,12,213.77304460366233,pfs,10498,run_idfeature,101190-dc002,cloudid_20160801_011500.nc,1,
write,1,4276.380358163459,42.813721656799316,96,96,0.200276521,"[2, 4, 8]",2,48,213.77304460366233,pfs,10498,run_idfeature,101190-dc002,cloudid_20160801_131500.nc,1,
write,1,4276.380358163459,42.813721656799316,96,96,0.200276521,"[2, 4, 8]",4,24,213.77304460366233,pfs,10498,run_idfeature,101190-dc002,cloudid_20160801_131500.nc,1,
write,1,4276.380358163459,42.813721656799316,96,96,0.200276521,"[2, 4, 8]",8,12,213.77304460366233,pfs,10498,run_idfeature,101190-dc002,cloudid_20160801_131500.nc,1,
read,1,6878.920804836951,66.18636322021484,96,96,0.352152301,"[2, 4, 8]",2,48,187.94812083370383,pfs,10089,run_idfeature,101190-dc002,pr_rlut_mean_sam_2016080101.nc,1,initial_data
read,1,6878.920804836951,66.18636322021484,96,96,0.352152301,"[2, 4, 8]",4,24,187.94812083370383,pfs,10089,run_idfeature,101190-dc002,pr_rlut_mean_sam_2016080101.nc,1,initial_data
