producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-openmm,0.5,openmm,1.0,tmpfs,1,tmpfs,12,0.020536983831482645,0.0,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,tmpfs,3,tmpfs,12,0.020536983831482645,0.0,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,tmpfs,6,tmpfs,12,0.020536983831482645,0.0,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,tmpfs,12,tmpfs,12,0.020536983831482645,0.0,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,tmpfs,13,tmpfs,12,0.020536983831482645,0.0,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,tmpfs,16,tmpfs,12,0.020536983831482645,0.0,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,tmpfs,24,tmpfs,12,0.020536983831482645,0.0,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,tmpfs,34,tmpfs,12,0.020536983831482645,0.0,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,tmpfs,1,tmpfs,3,0.028637874175403876,0.0,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,tmpfs,3,tmpfs,3,0.028637874175403876,0.0,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,tmpfs,6,tmpfs,3,0.028637874175403876,0.0,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,tmpfs,12,tmpfs,3,0.028637874175403876,0.0,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,tmpfs,13,tmpfs,3,0.028637874175403876,0.0,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,tmpfs,16,tmpfs,3,0.028637874175403876,0.0,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,tmpfs,24,tmpfs,3,0.028637874175403876,0.0,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,tmpfs,34,tmpfs,3,0.028637874175403876,0.0,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,tmpfs,1,tmpfs,6,0.031212107298225017,0.0,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,tmpfs,3,tmpfs,6,0.031212107298225017,0.0,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,tmpfs,6,tmpfs,6,0.031212107298225017,0.0,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,tmpfs,12,tmpfs,6,0.031212107298225017,0.0,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,tmpfs,13,tmpfs,6,0.031212107298225017,0.0,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,tmpfs,16,tmpfs,6,0.031212107298225017,0.0,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,tmpfs,24,tmpfs,6,0.031212107298225017,0.0,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,tmpfs,34,tmpfs,6,0.031212107298225017,0.0,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,beegfs-tmpfs,6,tmpfs,12,0.06653654580615788,0.04599956197467523,0.020536983831482645
stage_in-openmm,0.5,openmm,1.0,beegfs-tmpfs,6,tmpfs,3,0.0746374361500791,0.04599956197467523,0.028637874175403876
stage_in-openmm,0.5,openmm,1.0,beegfs-tmpfs,6,tmpfs,6,0.07721166927290024,0.04599956197467523,0.031212107298225017
stage_in-openmm,0.5,openmm,1.0,beegfs,1,beegfs,3,0.11781822011833275,0.0,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,beegfs,3,beegfs,3,0.11781822011833275,0.0,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,beegfs,6,beegfs,3,0.11781822011833275,0.0,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,beegfs,12,beegfs,3,0.11781822011833275,0.0,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,beegfs,13,beegfs,3,0.11781822011833275,0.0,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,beegfs,16,beegfs,3,0.11781822011833275,0.0,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,beegfs,24,beegfs,3,0.11781822011833275,0.0,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,beegfs,34,beegfs,3,0.11781822011833275,0.0,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,beegfs,1,beegfs,6,0.16122703792954127,0.0,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,beegfs,3,beegfs,6,0.16122703792954127,0.0,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,beegfs,6,beegfs,6,0.16122703792954127,0.0,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,beegfs,12,beegfs,6,0.16122703792954127,0.0,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,beegfs,13,beegfs,6,0.16122703792954127,0.0,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,beegfs,16,beegfs,6,0.16122703792954127,0.0,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,beegfs,24,beegfs,6,0.16122703792954127,0.0,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,beegfs,34,beegfs,6,0.16122703792954127,0.0,0.16122703792954127
stage_in-openmm,0.5,openmm,1.0,tmpfs-beegfs,6,beegfs,3,0.16907297521359757,0.051254755095264816,0.11781822011833275
stage_in-openmm,0.5,openmm,1.0,beegfs,1,beegfs,12,0.1891563158888393,0.0,0.1891563158888393
stage_in-openmm,0.5,openmm,1.0,beegfs,3,beegfs,12,0.1891563158888393,0.0,0.1891563158888393
stage_in-openmm,0.5,openmm,1.0,beegfs,6,beegfs,12,0.1891563158888393,0.0,0.1891563158888393
