producer,consumer,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM
run_idfeature,run_tracksingle,tmpfs,3,ssd,6,1.7674976494251053
run_idfeature,run_tracksingle,tmpfs,3,tmpfs,12,1.7687482687470188
run_idfeature,run_tracksingle,tmpfs,3,tmpfs,3,1.7693100140314486
run_idfeature,run_tracksingle,tmpfs,3,tmpfs,6,1.7697223025917908
run_idfeature,run_tracksingle,tmpfs,3,ssd,3,1.7702520228968177
run_idfeature,run_tracksingle,tmpfs,3,ssd,12,1.7774757871558475
run_idfeature,run_tracksingle,tmpfs,3,beegfs,3,1.8826142621227158
run_idfeature,run_tracksingle,tmpfs,3,beegfs,6,1.8933507447357523
run_idfeature,run_tracksingle,tmpfs,6,ssd,6,1.9695212931199917
run_idfeature,run_tracksingle,tmpfs,6,tmpfs,12,1.9707719124419052
run_idfeature,run_tracksingle,tmpfs,6,tmpfs,3,1.971333657726335
run_idfeature,run_tracksingle,tmpfs,6,tmpfs,6,1.971745946286677
run_idfeature,run_tracksingle,tmpfs,6,ssd,3,1.972275666591704
run_idfeature,run_tracksingle,tmpfs,3,beegfs,12,1.972577027594078
run_idfeature,run_tracksingle,tmpfs,6,ssd,12,1.9794994308507339
run_idfeature,run_tracksingle,tmpfs,12,ssd,6,2.0540420317984154
run_idfeature,run_tracksingle,tmpfs,12,tmpfs,12,2.055292651120329
run_idfeature,run_tracksingle,tmpfs,12,tmpfs,3,2.055854396404759
run_idfeature,run_tracksingle,tmpfs,12,tmpfs,6,2.056266684965101
run_idfeature,run_tracksingle,tmpfs,12,ssd,3,2.056796405270128
run_idfeature,run_tracksingle,tmpfs,12,ssd,12,2.0640201695291576
run_idfeature,run_tracksingle,tmpfs,6,beegfs,3,2.084637905817602
run_idfeature,run_tracksingle,tmpfs,6,beegfs,6,2.0953743884306384
run_idfeature,run_tracksingle,tmpfs,12,beegfs,3,2.169158644496026
run_idfeature,run_tracksingle,tmpfs,6,beegfs,12,2.1746006712889643
run_idfeature,run_tracksingle,tmpfs,12,beegfs,6,2.179895127109062
run_idfeature,run_tracksingle,tmpfs,12,beegfs,12,2.259121409967388
run_idfeature,run_tracksingle,ssd,6,ssd,6,2.4572896504361488
run_idfeature,run_tracksingle,ssd,6,tmpfs,12,2.4585402697580623
run_idfeature,run_tracksingle,ssd,6,tmpfs,3,2.4591020150424923
run_idfeature,run_tracksingle,ssd,6,tmpfs,6,2.4595143036028344
run_idfeature,run_tracksingle,ssd,6,ssd,3,2.4600440239078614
run_idfeature,run_tracksingle,ssd,6,ssd,12,2.467267788166891
run_idfeature,run_tracksingle,ssd,3,ssd,6,2.4833635315893012
run_idfeature,run_tracksingle,ssd,3,tmpfs,12,2.4846141509112147
run_idfeature,run_tracksingle,ssd,3,tmpfs,3,2.4851758961956447
run_idfeature,run_tracksingle,ssd,3,tmpfs,6,2.485588184755987
run_idfeature,run_tracksingle,ssd,3,ssd,3,2.486117905061014
run_idfeature,run_tracksingle,ssd,3,ssd,12,2.4933416693200434
