producer,consumer,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM
run_identifymcs,run_matchpf,tmpfs,1,tmpfs,1,0.0063695918897604675
run_identifymcs,run_matchpf,tmpfs,1,ssd,1,0.0065003507444999
run_identifymcs,run_matchpf,tmpfs,1,beegfs,1,0.011037353950660137
run_identifymcs,run_matchpf,beegfs,1,tmpfs,1,0.011912424149162531
run_identifymcs,run_matchpf,beegfs,1,ssd,1,0.012043183003901965
run_identifymcs,run_matchpf,beegfs,1,beegfs,1,0.0165801862100622
run_identifymcs,run_matchpf,ssd,1,tmpfs,1,0.016772927645134435
run_identifymcs,run_matchpf,ssd,1,ssd,1,0.01690368649987387
run_identifymcs,run_matchpf,ssd,1,beegfs,1,0.021440689706034105
run_identifymcs,stage_out-run_identifymcs,tmpfs,1,beegfs-ssd,1,0.007411735989636814
run_identifymcs,stage_out-run_identifymcs,tmpfs,1,beegfs-tmpfs,1,0.012608361587412496
run_identifymcs,stage_out-run_identifymcs,beegfs,1,beegfs-ssd,1,0.012954568249038878
run_identifymcs,stage_out-run_identifymcs,ssd,1,beegfs-ssd,1,0.017815071745010784
run_identifymcs,stage_out-run_identifymcs,beegfs,1,beegfs-tmpfs,1,0.01815119384681456
run_identifymcs,stage_out-run_identifymcs,ssd,1,beegfs-tmpfs,1,0.023011697342786464
run_identifymcs,stage_out-run_identifymcs,tmpfs,1,tmpfs-tmpfs,1,0.0434188317799437
run_identifymcs,stage_out-run_identifymcs,tmpfs,1,ssd-ssd,1,0.04372153346166708
run_identifymcs,stage_out-run_identifymcs,beegfs,1,tmpfs-tmpfs,1,0.04896166403934576
run_identifymcs,stage_out-run_identifymcs,beegfs,1,ssd-ssd,1,0.04926436572106914
run_identifymcs,stage_out-run_identifymcs,ssd,1,tmpfs-tmpfs,1,0.05382216753531766
run_identifymcs,stage_out-run_identifymcs,ssd,1,ssd-ssd,1,0.054124869217041044
run_idfeature,run_mapfeature,tmpfs,12,tmpfs,12,0.10690244421540926
