operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
read,0,8191.912280079227,2421.833441734314,300,300,19.831914727,[10],10,30,122.11798381913816,pfs,309998,individuals,104660-dc026,ALL.chr1.250000.vcf,1,initial_data
write,0,99647.0,0.0950307846069336,300,300,4.6072e-05,[10],10,30,2062.6581135382357,pfs,1,individuals,104660-dc026,chr1n-601-901.tar.gz,1,
read,0,8191.912280079227,2421.833441734314,300,300,19.831914727,[10],10,30,122.11798381913816,pfs,309998,individuals,104660-dc026,columns.txt,1,initial_data
read,0,8191.912280079227,2421.833441734314,300,300,19.708866217,[10],10,30,122.88040392934155,pfs,309998,individuals,104720-dc026,ALL.chr1.250000.vcf,1,initial_data
write,0,96053.0,0.09160327911376953,300,300,4.5531e-05,[10],10,30,2011.888144643639,pfs,1,individuals,104720-dc026,chr1n-2701-3001.tar.gz,1,
read,0,8191.912280079227,2421.833441734314,300,300,19.708866217,[10],10,30,122.88040392934155,pfs,309998,individuals,104720-dc026,columns.txt,1,initial_data
read,0,8191.912280079227,2421.833441734314,300,300,19.843852985,[10],10,30,122.04451643362715,pfs,309998,individuals,104761-dc026,ALL.chr1.250000.vcf,1,initial_data
write,0,107050.0,0.10209083557128906,300,300,5.0522e-05,[10],10,30,2020.7203905484553,pfs,1,individuals,104761-dc026,chr1n-6301-6601.tar.gz,1,
read,0,8191.912280079227,2421.833441734314,300,300,19.843852985,[10],10,30,122.04451643362715,pfs,309998,individuals,104761-dc026,columns.txt,1,initial_data
read,0,8191.912280079227,2421.833441734314,300,300,19.788165431,[10],10,30,122.38797225438023,pfs,309998,individuals,104796-dc026,ALL.chr1.250000.vcf,1,initial_data
write,0,105343.0,0.1004629135131836,300,300,4.1172e-05,[10],10,30,2440.078536704158,pfs,1,individuals,104796-dc026,chr1n-5701-6001.tar.gz,1,
read,0,8191.912280079227,2421.833441734314,300,300,19.788165431,[10],10,30,122.38797225438023,pfs,309998,individuals,104796-dc026,columns.txt,1,initial_data
read,0,8191.912280079227,2421.833441734314,300,300,19.784796863,[10],10,30,122.40881008303097,pfs,309998,individuals,104801-dc026,ALL.chr1.250000.vcf,1,initial_data
write,0,107195.0,0.10222911834716797,300,300,5.4092e-05,[10],10,30,1889.9119712188117,pfs,1,individuals,104801-dc026,chr1n-7501-7801.tar.gz,1,
read,0,8191.912280079227,2421.833441734314,300,300,19.784796863,[10],10,30,122.40881008303097,pfs,309998,individuals,104801-dc026,columns.txt,1,initial_data
read,0,8191.912280079227,2421.833441734314,300,300,19.795808747,[10],10,30,122.34071730468382,pfs,309998,individuals,105047-dc026,ALL.chr1.250000.vcf,1,initial_data
write,0,111168.0,0.10601806640625,300,300,6.4222e-05,[10],10,30,1650.8060540975057,pfs,1,individuals,105047-dc026,chr1n-3001-3301.tar.gz,1,
read,0,8191.912280079227,2421.833441734314,300,300,19.795808747,[10],10,30,122.34071730468382,pfs,309998,individuals,105047-dc026,columns.txt,1,initial_data
read,0,8191.912280079227,2421.833441734314,300,300,19.805820172,[10],10,30,122.27887664849762,pfs,309998,individuals,105274-dc026,ALL.chr1.250000.vcf,1,initial_data
write,0,113066.0,0.10782814025878906,300,300,5.4032e-05,[10],10,30,1995.6348137916245,pfs,1,individuals,105274-dc026,chr1n-4801-5101.tar.gz,1,
read,0,8191.912280079227,2421.833441734314,300,300,19.805820172,[10],10,30,122.27887664849762,pfs,309998,individuals,105274-dc026,columns.txt,1,initial_data
read,0,8191.912280079227,2421.833441734314,300,300,19.79105461,[10],10,30,122.37010555822593,pfs,309998,individuals,105275-dc026,ALL.chr1.250000.vcf,1,initial_data
write,0,85889.0,0.0819101333618164,300,300,4.3361e-05,[10],10,30,1889.027775231577,pfs,1,individuals,105275-dc026,chr1n-8401-8701.tar.gz,1,
read,0,8191.912280079227,2421.833441734314,300,300,19.79105461,[10],10,30,122.37010555822593,pfs,309998,individuals,105275-dc026,columns.txt,1,initial_data
read,0,8191.912280079227,2421.833441734314,300,300,19.854788195,[10],10,30,121.97729927656445,pfs,309998,individuals,105305-dc026,ALL.chr1.250000.vcf,1,initial_data
