operation,randomOffset,transferSize,aggregateFilesizeMB,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask
write,0,299818.0,0.28592872619628906,10,10,6.6573e-05,[2],2,5,4294.965319217837,pfs,1,mutation_overlap,1036-dc006,chr2-ALL.tar.gz,3,final_data
read,1,51776.0,1.23443603515625,10,10,0.003842755,[2],2,5,321.2372464953529,pfs,25,mutation_overlap,1036-dc006,chr2n.tar.gz,3,individuals_merge
write,0,276402.0,0.2635974884033203,10,10,7.8833e-05,[2],2,5,3343.7454924120652,pfs,1,mutation_overlap,1044-dc006,chr2-SAS.tar.gz,3,final_data
read,1,51776.0,1.23443603515625,10,10,0.003957894,[2],2,5,311.8921414156746,pfs,25,mutation_overlap,1044-dc006,chr2n.tar.gz,3,individuals_merge
write,0,209659.0,0.19994640350341797,10,10,5.4042e-05,[2],2,5,3699.833527689907,pfs,1,mutation_overlap,1069-dc006,chr4-GBR.tar.gz,3,final_data
read,1,64846.89473684211,1.175013542175293,10,10,0.002320792,[2],2,5,506.2985145481771,pfs,19,mutation_overlap,1069-dc006,chr4n.tar.gz,3,individuals_merge
write,0,298917.0,0.28506946563720703,10,10,6.7092e-05,[2],2,5,4248.933786997064,pfs,1,mutation_overlap,1076-dc006,chr6-AFR.tar.gz,3,final_data
read,1,91552.1875,1.3969755172729492,10,10,0.003739769,[2],2,5,373.54593753596794,pfs,16,mutation_overlap,1076-dc006,chr6n.tar.gz,3,individuals_merge
write,0,275046.0,0.26230430603027344,10,10,6.7902e-05,[2],2,5,3862.983506086322,pfs,1,mutation_overlap,1085-dc006,chr2-AMR.tar.gz,3,final_data
read,1,51776.0,1.23443603515625,10,10,0.003720977,[2],2,5,331.7505147589598,pfs,25,mutation_overlap,1085-dc006,chr2n.tar.gz,3,individuals_merge
read,1,8191.953215223521,2421.814293861389,300,300,37.79409531,[2],2,150,64.0791709391863,pfs,309994,individuals,110118-dc004,ALL.chr1.250000.vcf,1,initial_data
write,0,71703.0,0.06838130950927734,300,300,2.091e-05,[2],2,150,3270.2682692146027,pfs,1,individuals,110118-dc004,chr1n-1001-1201.tar.gz,1,
read,1,8191.953166080087,2421.7752170562744,300,300,74.188782174,[2],2,150,32.6434151645234,pfs,309989,individuals,110153-dc004,ALL.chr3.250000.vcf,1,initial_data
write,0,72414.0,0.06905937194824219,300,300,2.1891e-05,[2],2,150,3154.6924283149324,pfs,1,individuals,110153-dc004,chr3n-1001-1201.tar.gz,1,
read,1,8191.953215223521,2421.814293861389,300,300,37.806556137,[2],2,150,64.05805080699326,pfs,309994,individuals,110164-dc004,ALL.chr1.250000.vcf,1,initial_data
write,0,68289.0,0.0651254653930664,300,300,2.8811e-05,[2],2,150,2260.437520150859,pfs,1,individuals,110164-dc004,chr1n-5801-6001.tar.gz,1,
read,1,8191.953215223521,2421.814293861389,300,300,37.859765779,[2],2,150,63.96802103843753,pfs,309994,individuals,110166-dc004,ALL.chr1.250000.vcf,1,initial_data
write,0,71430.0,0.06812095642089844,300,300,1.9461e-05,[2],2,150,3500.3831468525996,pfs,1,individuals,110166-dc004,chr1n-3201-3401.tar.gz,1,
read,1,8191.953215223521,2421.814293861389,300,300,37.985837417,[2],2,150,63.75571682875529,pfs,309994,individuals,110172-dc004,ALL.chr1.250000.vcf,1,initial_data
write,0,30369.0,0.028962135314941406,300,300,1.428e-05,[2],2,150,2028.1607363404346,pfs,1,individuals,110172-dc004,chr1n-1-201.tar.gz,1,
read,1,8191.953215223521,2421.814293861389,300,300,37.753167834,[2],2,150,64.14863792384425,pfs,309994,individuals,110182-dc004,ALL.chr1.250000.vcf,1,initial_data
