,operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB,estimated_trMiB_beegfs-ssd_30p,estimated_ts_slope_beegfs-ssd_30p,estimated_trMiB_beegfs-ssd_12p,estimated_ts_slope_beegfs-ssd_12p,estimated_trMiB_beegfs-ssd_6p,estimated_ts_slope_beegfs-ssd_6p,estimated_trMiB_beegfs-tmpfs_30p,estimated_ts_slope_beegfs-tmpfs_30p,estimated_trMiB_beegfs-tmpfs_12p,estimated_ts_slope_beegfs-tmpfs_12p,estimated_trMiB_beegfs-tmpfs_6p,estimated_ts_slope_beegfs-tmpfs_6p,estimated_trMiB_ssd-ssd_30p,estimated_ts_slope_ssd-ssd_30p,estimated_trMiB_ssd-ssd_12p,estimated_ts_slope_ssd-ssd_12p,estimated_trMiB_ssd-ssd_6p,estimated_ts_slope_ssd-ssd_6p,estimated_trMiB_tmpfs-tmpfs_30p,estimated_ts_slope_tmpfs-tmpfs_30p,estimated_trMiB_tmpfs-tmpfs_12p,estimated_ts_slope_tmpfs-tmpfs_12p,estimated_trMiB_tmpfs-tmpfs_6p,estimated_ts_slope_tmpfs-tmpfs_6p,estimated_trMiB_ssd_150p,estimated_ts_slope_ssd_150p,estimated_trMiB_beegfs_150p,estimated_ts_slope_beegfs_150p,estimated_trMiB_tmpfs_150p,estimated_ts_slope_tmpfs_150p,estimated_trMiB_ssd_60p,estimated_ts_slope_ssd_60p,estimated_trMiB_beegfs_60p,estimated_ts_slope_beegfs_60p,estimated_trMiB_tmpfs_60p,estimated_ts_slope_tmpfs_60p,estimated_trMiB_ssd_30p,estimated_ts_slope_ssd_30p,estimated_trMiB_beegfs_30p,estimated_ts_slope_beegfs_30p,estimated_trMiB_tmpfs_30p,estimated_ts_slope_tmpfs_30p,estimated_trMiB_beegfs-ssd_5p,estimated_ts_slope_beegfs-ssd_5p,estimated_trMiB_beegfs-ssd_2p,estimated_ts_slope_beegfs-ssd_2p,estimated_trMiB_beegfs-ssd_1p,estimated_ts_slope_beegfs-ssd_1p,estimated_trMiB_beegfs-tmpfs_5p,estimated_ts_slope_beegfs-tmpfs_5p,estimated_trMiB_beegfs-tmpfs_2p,estimated_ts_slope_beegfs-tmpfs_2p,estimated_trMiB_beegfs-tmpfs_1p,estimated_ts_slope_beegfs-tmpfs_1p,estimated_trMiB_ssd-ssd_5p,estimated_ts_slope_ssd-ssd_5p,estimated_trMiB_ssd-ssd_2p,estimated_ts_slope_ssd-ssd_2p,estimated_trMiB_ssd-ssd_1p,estimated_ts_slope_ssd-ssd_1p,estimated_trMiB_tmpfs-tmpfs_5p,estimated_ts_slope_tmpfs-tmpfs_5p,estimated_trMiB_tmpfs-tmpfs_2p,estimated_ts_slope_tmpfs-tmpfs_2p,estimated_trMiB_tmpfs-tmpfs_1p,estimated_ts_slope_tmpfs-tmpfs_1p,estimated_trMiB_beegfs-ssd_20p,estimated_ts_slope_beegfs-ssd_20p,estimated_trMiB_beegfs-ssd_8p,estimated_ts_slope_beegfs-ssd_8p,estimated_trMiB_beegfs-ssd_4p,estimated_ts_slope_beegfs-ssd_4p,estimated_trMiB_beegfs-tmpfs_20p,estimated_ts_slope_beegfs-tmpfs_20p,estimated_trMiB_beegfs-tmpfs_8p,estimated_ts_slope_beegfs-tmpfs_8p,estimated_trMiB_beegfs-tmpfs_4p,estimated_ts_slope_beegfs-tmpfs_4p,estimated_trMiB_ssd-ssd_20p,estimated_ts_slope_ssd-ssd_20p,estimated_trMiB_ssd-ssd_8p,estimated_ts_slope_ssd-ssd_8p,estimated_trMiB_ssd-ssd_4p,estimated_ts_slope_ssd-ssd_4p,estimated_trMiB_tmpfs-tmpfs_20p,estimated_ts_slope_tmpfs-tmpfs_20p,estimated_trMiB_tmpfs-tmpfs_8p,estimated_ts_slope_tmpfs-tmpfs_8p,estimated_trMiB_tmpfs-tmpfs_4p,estimated_ts_slope_tmpfs-tmpfs_4p,estimated_trMiB_ssd_5p,estimated_ts_slope_ssd_5p,estimated_trMiB_beegfs_5p,estimated_ts_slope_beegfs_5p,estimated_trMiB_tmpfs_5p,estimated_ts_slope_tmpfs_5p,estimated_trMiB_ssd_2p,estimated_ts_slope_ssd_2p,estimated_trMiB_beegfs_2p,estimated_ts_slope_beegfs_2p,estimated_trMiB_tmpfs_2p,estimated_ts_slope_tmpfs_2p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p,estimated_trMiB_tmpfs_1p,estimated_ts_slope_tmpfs_1p,estimated_trMiB_tmpfs-beegfs_30p,estimated_ts_slope_tmpfs-beegfs_30p,estimated_trMiB_tmpfs-beegfs_12p,estimated_ts_slope_tmpfs-beegfs_12p,estimated_trMiB_tmpfs-beegfs_6p,estimated_ts_slope_tmpfs-beegfs_6p,estimated_trMiB_tmpfs-beegfs_10p,estimated_ts_slope_tmpfs-beegfs_10p,estimated_trMiB_tmpfs-beegfs_4p,estimated_ts_slope_tmpfs-beegfs_4p,estimated_trMiB_tmpfs-beegfs_2p,estimated_ts_slope_tmpfs-beegfs_2p,estimated_trMiB_ssd-beegfs_30p,estimated_ts_slope_ssd-beegfs_30p,estimated_trMiB_ssd-beegfs_12p,estimated_ts_slope_ssd-beegfs_12p,estimated_trMiB_ssd-beegfs_6p,estimated_ts_slope_ssd-beegfs_6p,estimated_trMiB_ssd-beegfs_10p,estimated_ts_slope_ssd-beegfs_10p,estimated_trMiB_ssd-beegfs_4p,estimated_ts_slope_ssd-beegfs_4p,estimated_trMiB_ssd-beegfs_2p,estimated_ts_slope_ssd-beegfs_2p
0,cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-1101-1201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1501-1601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2501-2601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2901-3001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-301-401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1901-2001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1301-1401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2301-2401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2001-2101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1401-1501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1601-1701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2101-2201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2201-2301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-601-701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2801-2901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2401-2501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-801-901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-901-1001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1701-1801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-701-801.tar.gz,columns.txt",0.5,initial_data,96884.34457302094,295.4992446098603,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,cp,0,4096.0,,60,60,,"[2, 5, 10]",5,12,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-1101-1201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1501-1601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2501-2601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2901-3001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-301-401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1901-2001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1301-1401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2301-2401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2001-2101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1401-1501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1601-1701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2101-2201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2201-2301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-601-701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2801-2901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2401-2501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-801-901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-901-1001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1701-1801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-701-801.tar.gz,columns.txt",0.5,initial_data,96884.34457302094,,,261.78330964997167,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,cp,0,4096.0,,60,60,,"[2, 5, 10]",10,6,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-1101-1201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1501-1601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2501-2601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2901-3001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-301-401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1901-2001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1301-1401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2301-2401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2001-2101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1401-1501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1601-1701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2101-2201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2201-2301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-601-701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2801-2901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2401-2501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-801-901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-901-1001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1701-1801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-701-801.tar.gz,columns.txt",0.5,initial_data,96884.34457302094,,,,,275.10049433665256,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-1801-1901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-401-501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-501-601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-201-301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1201-1301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-101-201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1001-1101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2701-2801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1-101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2601-2701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-601-701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1501-1601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1601-1701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-101-201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-701-801.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1101-1201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2901-3001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1301-1401.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2001-2101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2301-2401.tar.gz,columns.txt",0.5,initial_data,96876.87445163727,295.5752263397029,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,cp,0,4096.0,,60,60,,"[2, 5, 10]",5,12,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-1801-1901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-401-501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-501-601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-201-301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1201-1301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-101-201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1001-1101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2701-2801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1-101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2601-2701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-601-701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1501-1601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1601-1701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-101-201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-701-801.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1101-1201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2901-3001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1301-1401.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2001-2101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2301-2401.tar.gz,columns.txt",0.5,initial_data,96876.87445163727,,,261.8649019075858,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,cp,0,4096.0,,60,60,,"[2, 5, 10]",10,6,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-1801-1901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-401-501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-501-601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-201-301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1201-1301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-101-201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1001-1101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2701-2801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1-101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2601-2701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-601-701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1501-1601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1601-1701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-101-201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-701-801.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1101-1201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2901-3001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1301-1401.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2001-2101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2301-2401.tar.gz,columns.txt",0.5,initial_data,96876.87445163727,,,,,275.1856020269595,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr9.250000.vcf,chr9n-2801-2901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-901-1001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-801-901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2601-2701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-301-401.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2101-2201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1201-1301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1901-2001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2401-2501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-201-301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2501-2601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1401-1501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-501-601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2201-2301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1-101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2701-2801.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1001-1101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-401-501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1801-1901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1701-1801.tar.gz,columns.txt",0.5,initial_data,96869.59521579742,295.6492664928192,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,cp,0,4096.0,,60,60,,"[2, 5, 10]",5,12,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr9.250000.vcf,chr9n-2801-2901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-901-1001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-801-901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2601-2701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-301-401.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2101-2201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1201-1301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1901-2001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2401-2501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-201-301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2501-2601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1401-1501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-501-601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2201-2301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1-101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2701-2801.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1001-1101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-401-501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1801-1901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1701-1801.tar.gz,columns.txt",0.5,initial_data,96869.59521579742,,,261.94440922150676,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,cp,0,4096.0,,60,60,,"[2, 5, 10]",10,6,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr9.250000.vcf,chr9n-2801-2901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-901-1001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-801-901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2601-2701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-301-401.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2101-2201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1201-1301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1901-2001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2401-2501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-201-301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2501-2601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1401-1501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-501-601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2201-2301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1-101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2701-2801.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1001-1101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-401-501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1801-1901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1701-1801.tar.gz,columns.txt",0.5,initial_data,96869.59521579742,,,,,275.26853494300053,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr4.250000.vcf,chr4n-201-301.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1001-1101.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-2301-2401.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-2701-2801.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1501-1601.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-2201-2301.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1201-1301.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-601-701.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-2001-2101.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1601-1701.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1-101.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-401-501.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-701-801.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1701-1801.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-501-601.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-2501-2601.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1301-1401.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-801-901.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1401-1501.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-2401-2501.tar.gz,columns.txt",0.5,initial_data,96874.59599685669,295.5984014565056,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
