operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB
cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-1101-1201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1501-1601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2501-2601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2901-3001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-301-401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1901-2001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1301-1401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2301-2401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2001-2101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1401-1501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1601-1701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2101-2201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2201-2301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-601-701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2801-2901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2401-2501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-801-901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-901-1001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1701-1801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-701-801.tar.gz,columns.txt",0.5,initial_data,96884.34457302094
cp,0,4096.0,,60,60,,"[2, 5, 10]",5,12,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-1101-1201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1501-1601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2501-2601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2901-3001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-301-401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1901-2001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1301-1401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2301-2401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2001-2101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1401-1501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1601-1701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2101-2201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2201-2301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-601-701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2801-2901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2401-2501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-801-901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-901-1001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1701-1801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-701-801.tar.gz,columns.txt",0.5,initial_data,96884.34457302094
cp,0,4096.0,,60,60,,"[2, 5, 10]",10,6,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-1101-1201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1501-1601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2501-2601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2901-3001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-301-401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1901-2001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1301-1401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2301-2401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2001-2101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1401-1501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1601-1701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2101-2201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2201-2301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-601-701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2801-2901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2401-2501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-801-901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-901-1001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1701-1801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-701-801.tar.gz,columns.txt",0.5,initial_data,96884.34457302094
cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-1801-1901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-401-501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-501-601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-201-301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1201-1301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-101-201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1001-1101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2701-2801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1-101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2601-2701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-601-701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1501-1601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1601-1701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-101-201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-701-801.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1101-1201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2901-3001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1301-1401.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2001-2101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2301-2401.tar.gz,columns.txt",0.5,initial_data,96876.87445163727
cp,0,4096.0,,60,60,,"[2, 5, 10]",5,12,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-1801-1901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-401-501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-501-601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-201-301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1201-1301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-101-201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1001-1101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2701-2801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1-101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2601-2701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-601-701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1501-1601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1601-1701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-101-201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-701-801.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1101-1201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2901-3001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1301-1401.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2001-2101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2301-2401.tar.gz,columns.txt",0.5,initial_data,96876.87445163727
cp,0,4096.0,,60,60,,"[2, 5, 10]",10,6,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-1801-1901.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-401-501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-501-601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-201-301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1201-1301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-101-201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1001-1101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2701-2801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1-101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2601-2701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-601-701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1501-1601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1601-1701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-101-201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-701-801.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1101-1201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2901-3001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1301-1401.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2001-2101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2301-2401.tar.gz,columns.txt",0.5,initial_data,96876.87445163727
cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr9.250000.vcf,chr9n-2801-2901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-901-1001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-801-901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2601-2701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-301-401.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2101-2201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1201-1301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1901-2001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2401-2501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-201-301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2501-2601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1401-1501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-501-601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2201-2301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1-101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2701-2801.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1001-1101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-401-501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1801-1901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1701-1801.tar.gz,columns.txt",0.5,initial_data,96869.59521579742
cp,0,4096.0,,60,60,,"[2, 5, 10]",5,12,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr9.250000.vcf,chr9n-2801-2901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-901-1001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-801-901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2601-2701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-301-401.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2101-2201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1201-1301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1901-2001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2401-2501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-201-301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2501-2601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1401-1501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-501-601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2201-2301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1-101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2701-2801.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1001-1101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-401-501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1801-1901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1701-1801.tar.gz,columns.txt",0.5,initial_data,96869.59521579742
cp,0,4096.0,,60,60,,"[2, 5, 10]",10,6,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr9.250000.vcf,chr9n-2801-2901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-901-1001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-801-901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2601-2701.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-301-401.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2101-2201.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1201-1301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1901-2001.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2401-2501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-201-301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2501-2601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1401-1501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-501-601.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2201-2301.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1-101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-2701-2801.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1001-1101.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-401-501.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1801-1901.tar.gz,columns.txt,ALL.chr9.250000.vcf,chr9n-1701-1801.tar.gz,columns.txt",0.5,initial_data,96869.59521579742
cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr4.250000.vcf,chr4n-201-301.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1001-1101.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-2301-2401.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-2701-2801.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1501-1601.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-2201-2301.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1201-1301.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-601-701.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-2001-2101.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1601-1701.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1-101.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-401-501.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-701-801.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1701-1801.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-501-601.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-2501-2601.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1301-1401.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-801-901.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-1401-1501.tar.gz,columns.txt,ALL.chr4.250000.vcf,chr4n-2401-2501.tar.gz,columns.txt",0.5,initial_data,96874.59599685669
