operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB
cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr1.250000.vcf,chr1n-601-901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-2701-3001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6301-6601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5701-6001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7501-7801.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3001-3301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4801-5101.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8401-8701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-301-601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6901-7201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7801-8101.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1-301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-901-1201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6001-6301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8701-9001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-2401-2701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6601-6901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7201-7501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3301-3601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4501-4801.tar.gz,columns.txt",0.5,initial_data,96875.30536556244
cp,0,4096.0,,60,60,,"[2, 5, 10]",5,12,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr1.250000.vcf,chr1n-601-901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-2701-3001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6301-6601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5701-6001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7501-7801.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3001-3301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4801-5101.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8401-8701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-301-601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6901-7201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7801-8101.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1-301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-901-1201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6001-6301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8701-9001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-2401-2701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6601-6901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7201-7501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3301-3601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4501-4801.tar.gz,columns.txt",0.5,initial_data,96875.30536556244
cp,0,4096.0,,60,60,,"[2, 5, 10]",10,6,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr1.250000.vcf,chr1n-601-901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-2701-3001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6301-6601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5701-6001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7501-7801.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3001-3301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4801-5101.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8401-8701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-301-601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6901-7201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7801-8101.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1-301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-901-1201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6001-6301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8701-9001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-2401-2701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6601-6901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7201-7501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3301-3601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4501-4801.tar.gz,columns.txt",0.5,initial_data,96875.30536556244
cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr1.250000.vcf,chr1n-2101-2401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1501-1801.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3901-4201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5101-5401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3601-3901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8101-8401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1201-1501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4201-4501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5401-5701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1801-2101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2701-3001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2101-2401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4801-5101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7801-8101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4201-4501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5701-6001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1201-1501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-301-601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3901-4201.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3601-3901.tar.gz,columns.txt",0.5,initial_data,96874.56847190857
cp,0,4096.0,,60,60,,"[2, 5, 10]",5,12,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr1.250000.vcf,chr1n-2101-2401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1501-1801.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3901-4201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5101-5401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3601-3901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8101-8401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1201-1501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4201-4501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5401-5701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1801-2101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2701-3001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2101-2401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4801-5101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7801-8101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4201-4501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5701-6001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1201-1501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-301-601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3901-4201.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3601-3901.tar.gz,columns.txt",0.5,initial_data,96874.56847190857
cp,0,4096.0,,60,60,,"[2, 5, 10]",10,6,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr1.250000.vcf,chr1n-2101-2401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1501-1801.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3901-4201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5101-5401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3601-3901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8101-8401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1201-1501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4201-4501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5401-5701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1801-2101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2701-3001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2101-2401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4801-5101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7801-8101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4201-4501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5701-6001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1201-1501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-301-601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3901-4201.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3601-3901.tar.gz,columns.txt",0.5,initial_data,96874.56847190857
cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr8.250000.vcf,chr8n-601-901.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6001-6301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1801-2101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2401-2701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8101-8401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8401-8701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8701-9001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5101-5401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-901-1201.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6601-6901.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6301-6601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1501-1801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4501-4801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1-301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3301-3601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5401-5701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7201-7501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7501-7801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3001-3301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6901-7201.tar.gz,columns.txt",0.5,initial_data,96873.63725471497
cp,0,4096.0,,60,60,,"[2, 5, 10]",5,12,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr8.250000.vcf,chr8n-601-901.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6001-6301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1801-2101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2401-2701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8101-8401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8401-8701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8701-9001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5101-5401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-901-1201.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6601-6901.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6301-6601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1501-1801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4501-4801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1-301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3301-3601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5401-5701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7201-7501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7501-7801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3001-3301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6901-7201.tar.gz,columns.txt",0.5,initial_data,96873.63725471497
cp,0,4096.0,,60,60,,"[2, 5, 10]",10,6,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr8.250000.vcf,chr8n-601-901.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6001-6301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1801-2101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2401-2701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8101-8401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8401-8701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8701-9001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5101-5401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-901-1201.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6601-6901.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6301-6601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1501-1801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4501-4801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1-301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3301-3601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5401-5701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7201-7501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7501-7801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3001-3301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6901-7201.tar.gz,columns.txt",0.5,initial_data,96873.63725471497
cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-301-601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-4501-4801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-5701-6001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-901-1201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-8701-9001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1801-2101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-8401-8701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-7201-7501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1201-1501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2701-3001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-4201-4501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-3901-4201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-8101-8401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-5401-5701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-3001-3301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2101-2401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-7501-7801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-6901-7201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-4801-5101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1501-1801.tar.gz,columns.txt",0.5,initial_data,96884.69911193848
