,operation,randomOffset,transferSize,aggregateFilesizeMBtask,numTasks,parallelism,totalTime,numNodesList,numNodes,tasksPerNode,trMiB,storageType,opCount,taskName,taskPID,fileName,stageOrder,prevTask,aggregateFilesizeMB,estimated_trMiB_beegfs-ssd_30p,estimated_ts_slope_beegfs-ssd_30p,estimated_trMiB_beegfs-ssd_12p,estimated_ts_slope_beegfs-ssd_12p,estimated_trMiB_beegfs-ssd_6p,estimated_ts_slope_beegfs-ssd_6p,estimated_trMiB_beegfs-tmpfs_30p,estimated_ts_slope_beegfs-tmpfs_30p,estimated_trMiB_beegfs-tmpfs_12p,estimated_ts_slope_beegfs-tmpfs_12p,estimated_trMiB_beegfs-tmpfs_6p,estimated_ts_slope_beegfs-tmpfs_6p,estimated_trMiB_ssd-ssd_30p,estimated_ts_slope_ssd-ssd_30p,estimated_trMiB_ssd-ssd_12p,estimated_ts_slope_ssd-ssd_12p,estimated_trMiB_ssd-ssd_6p,estimated_ts_slope_ssd-ssd_6p,estimated_trMiB_tmpfs-tmpfs_30p,estimated_ts_slope_tmpfs-tmpfs_30p,estimated_trMiB_tmpfs-tmpfs_12p,estimated_ts_slope_tmpfs-tmpfs_12p,estimated_trMiB_tmpfs-tmpfs_6p,estimated_ts_slope_tmpfs-tmpfs_6p,estimated_trMiB_ssd_150p,estimated_ts_slope_ssd_150p,estimated_trMiB_beegfs_150p,estimated_ts_slope_beegfs_150p,estimated_trMiB_tmpfs_150p,estimated_ts_slope_tmpfs_150p,estimated_trMiB_ssd_60p,estimated_ts_slope_ssd_60p,estimated_trMiB_beegfs_60p,estimated_ts_slope_beegfs_60p,estimated_trMiB_tmpfs_60p,estimated_ts_slope_tmpfs_60p,estimated_trMiB_ssd_30p,estimated_ts_slope_ssd_30p,estimated_trMiB_beegfs_30p,estimated_ts_slope_beegfs_30p,estimated_trMiB_tmpfs_30p,estimated_ts_slope_tmpfs_30p,estimated_trMiB_beegfs-ssd_5p,estimated_ts_slope_beegfs-ssd_5p,estimated_trMiB_beegfs-ssd_2p,estimated_ts_slope_beegfs-ssd_2p,estimated_trMiB_beegfs-ssd_1p,estimated_ts_slope_beegfs-ssd_1p,estimated_trMiB_beegfs-tmpfs_5p,estimated_ts_slope_beegfs-tmpfs_5p,estimated_trMiB_beegfs-tmpfs_2p,estimated_ts_slope_beegfs-tmpfs_2p,estimated_trMiB_beegfs-tmpfs_1p,estimated_ts_slope_beegfs-tmpfs_1p,estimated_trMiB_ssd-ssd_5p,estimated_ts_slope_ssd-ssd_5p,estimated_trMiB_ssd-ssd_2p,estimated_ts_slope_ssd-ssd_2p,estimated_trMiB_ssd-ssd_1p,estimated_ts_slope_ssd-ssd_1p,estimated_trMiB_tmpfs-tmpfs_5p,estimated_ts_slope_tmpfs-tmpfs_5p,estimated_trMiB_tmpfs-tmpfs_2p,estimated_ts_slope_tmpfs-tmpfs_2p,estimated_trMiB_tmpfs-tmpfs_1p,estimated_ts_slope_tmpfs-tmpfs_1p,estimated_trMiB_beegfs-ssd_20p,estimated_ts_slope_beegfs-ssd_20p,estimated_trMiB_beegfs-ssd_8p,estimated_ts_slope_beegfs-ssd_8p,estimated_trMiB_beegfs-ssd_4p,estimated_ts_slope_beegfs-ssd_4p,estimated_trMiB_beegfs-tmpfs_20p,estimated_ts_slope_beegfs-tmpfs_20p,estimated_trMiB_beegfs-tmpfs_8p,estimated_ts_slope_beegfs-tmpfs_8p,estimated_trMiB_beegfs-tmpfs_4p,estimated_ts_slope_beegfs-tmpfs_4p,estimated_trMiB_ssd-ssd_20p,estimated_ts_slope_ssd-ssd_20p,estimated_trMiB_ssd-ssd_8p,estimated_ts_slope_ssd-ssd_8p,estimated_trMiB_ssd-ssd_4p,estimated_ts_slope_ssd-ssd_4p,estimated_trMiB_tmpfs-tmpfs_20p,estimated_ts_slope_tmpfs-tmpfs_20p,estimated_trMiB_tmpfs-tmpfs_8p,estimated_ts_slope_tmpfs-tmpfs_8p,estimated_trMiB_tmpfs-tmpfs_4p,estimated_ts_slope_tmpfs-tmpfs_4p,estimated_trMiB_ssd_5p,estimated_ts_slope_ssd_5p,estimated_trMiB_beegfs_5p,estimated_ts_slope_beegfs_5p,estimated_trMiB_tmpfs_5p,estimated_ts_slope_tmpfs_5p,estimated_trMiB_ssd_2p,estimated_ts_slope_ssd_2p,estimated_trMiB_beegfs_2p,estimated_ts_slope_beegfs_2p,estimated_trMiB_tmpfs_2p,estimated_ts_slope_tmpfs_2p,estimated_trMiB_ssd_1p,estimated_ts_slope_ssd_1p,estimated_trMiB_beegfs_1p,estimated_ts_slope_beegfs_1p,estimated_trMiB_tmpfs_1p,estimated_ts_slope_tmpfs_1p,estimated_trMiB_tmpfs-beegfs_30p,estimated_ts_slope_tmpfs-beegfs_30p,estimated_trMiB_tmpfs-beegfs_12p,estimated_ts_slope_tmpfs-beegfs_12p,estimated_trMiB_tmpfs-beegfs_6p,estimated_ts_slope_tmpfs-beegfs_6p,estimated_trMiB_tmpfs-beegfs_10p,estimated_ts_slope_tmpfs-beegfs_10p,estimated_trMiB_tmpfs-beegfs_4p,estimated_ts_slope_tmpfs-beegfs_4p,estimated_trMiB_tmpfs-beegfs_2p,estimated_ts_slope_tmpfs-beegfs_2p,estimated_trMiB_ssd-beegfs_30p,estimated_ts_slope_ssd-beegfs_30p,estimated_trMiB_ssd-beegfs_12p,estimated_ts_slope_ssd-beegfs_12p,estimated_trMiB_ssd-beegfs_6p,estimated_ts_slope_ssd-beegfs_6p,estimated_trMiB_ssd-beegfs_10p,estimated_ts_slope_ssd-beegfs_10p,estimated_trMiB_ssd-beegfs_4p,estimated_ts_slope_ssd-beegfs_4p,estimated_trMiB_ssd-beegfs_2p,estimated_ts_slope_ssd-beegfs_2p
0,cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr1.250000.vcf,chr1n-601-901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-2701-3001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6301-6601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5701-6001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7501-7801.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3001-3301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4801-5101.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8401-8701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-301-601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6901-7201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7801-8101.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1-301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-901-1201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6001-6301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8701-9001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-2401-2701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6601-6901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7201-7501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3301-3601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4501-4801.tar.gz,columns.txt",0.5,initial_data,96875.30536556244,295.59118617062325,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,cp,0,4096.0,,60,60,,"[2, 5, 10]",5,12,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr1.250000.vcf,chr1n-601-901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-2701-3001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6301-6601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5701-6001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7501-7801.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3001-3301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4801-5101.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8401-8701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-301-601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6901-7201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7801-8101.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1-301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-901-1201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6001-6301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8701-9001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-2401-2701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6601-6901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7201-7501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3301-3601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4501-4801.tar.gz,columns.txt",0.5,initial_data,96875.30536556244,,,261.88204022015947,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,cp,0,4096.0,,60,60,,"[2, 5, 10]",10,6,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr1.250000.vcf,chr1n-601-901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-2701-3001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6301-6601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5701-6001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7501-7801.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3001-3301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4801-5101.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8401-8701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-301-601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6901-7201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7801-8101.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1-301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-901-1201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6001-6301.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8701-9001.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-2401-2701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-6601-6901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-7201-7501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3301-3601.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4501-4801.tar.gz,columns.txt",0.5,initial_data,96875.30536556244,,,,,275.2034787500892,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr1.250000.vcf,chr1n-2101-2401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1501-1801.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3901-4201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5101-5401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3601-3901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8101-8401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1201-1501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4201-4501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5401-5701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1801-2101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2701-3001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2101-2401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4801-5101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7801-8101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4201-4501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5701-6001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1201-1501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-301-601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3901-4201.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3601-3901.tar.gz,columns.txt",0.5,initial_data,96874.56847190857,295.5986814242684,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,cp,0,4096.0,,60,60,,"[2, 5, 10]",5,12,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr1.250000.vcf,chr1n-2101-2401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1501-1801.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3901-4201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5101-5401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3601-3901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8101-8401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1201-1501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4201-4501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5401-5701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1801-2101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2701-3001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2101-2401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4801-5101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7801-8101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4201-4501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5701-6001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1201-1501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-301-601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3901-4201.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3601-3901.tar.gz,columns.txt",0.5,initial_data,96874.56847190857,,,261.8900889269679,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,cp,0,4096.0,,60,60,,"[2, 5, 10]",10,6,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr1.250000.vcf,chr1n-2101-2401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1501-1801.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3901-4201.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5101-5401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-3601-3901.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-8101-8401.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1201-1501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-4201-4501.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-5401-5701.tar.gz,columns.txt,ALL.chr1.250000.vcf,chr1n-1801-2101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2701-3001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2101-2401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4801-5101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7801-8101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4201-4501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5701-6001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1201-1501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-301-601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3901-4201.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3601-3901.tar.gz,columns.txt",0.5,initial_data,96874.56847190857,,,,,275.21187423841684,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr8.250000.vcf,chr8n-601-901.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6001-6301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1801-2101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2401-2701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8101-8401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8401-8701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8701-9001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5101-5401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-901-1201.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6601-6901.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6301-6601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1501-1801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4501-4801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1-301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3301-3601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5401-5701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7201-7501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7501-7801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3001-3301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6901-7201.tar.gz,columns.txt",0.5,initial_data,96873.63725471497,295.6081532239348,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,cp,0,4096.0,,60,60,,"[2, 5, 10]",5,12,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr8.250000.vcf,chr8n-601-901.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6001-6301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1801-2101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2401-2701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8101-8401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8401-8701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8701-9001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5101-5401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-901-1201.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6601-6901.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6301-6601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1501-1801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4501-4801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1-301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3301-3601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5401-5701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7201-7501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7501-7801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3001-3301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6901-7201.tar.gz,columns.txt",0.5,initial_data,96873.63725471497,,,261.900260128914,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,cp,0,4096.0,,60,60,,"[2, 5, 10]",10,6,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr8.250000.vcf,chr8n-601-901.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6001-6301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1801-2101.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-2401-2701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8101-8401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8401-8701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-8701-9001.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5101-5401.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-901-1201.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6601-6901.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6301-6601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1501-1801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-4501-4801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-1-301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3301-3601.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-5401-5701.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7201-7501.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-7501-7801.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-3001-3301.tar.gz,columns.txt,ALL.chr8.250000.vcf,chr8n-6901-7201.tar.gz,columns.txt",0.5,initial_data,96873.63725471497,,,,,275.22248367037264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,cp,0,4096.0,,60,60,,"[2, 5, 10]",2,30,,beegfs-ssd,60,stage_in-individuals,,"ALL.chr10.250000.vcf,chr10n-301-601.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-4501-4801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-5701-6001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-901-1201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-8701-9001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1801-2101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-8401-8701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-7201-7501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1201-1501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2701-3001.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-4201-4501.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-3901-4201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-8101-8401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-5401-5701.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-3001-3301.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-2101-2401.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-7501-7801.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-6901-7201.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-4801-5101.tar.gz,columns.txt,ALL.chr10.250000.vcf,chr10n-1501-1801.tar.gz,columns.txt",0.5,initial_data,96884.69911193848,295.49563844620275,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
